question,optionA,optionB,optionC,optionD,answer
In what form is most of the lipid component of our food in?,triglycerols,polysaccharides,complex carbohydrates,polypeptides,A
"In organic compounds, How many bonds do carbon atoms always form?",four single bonds,four covalent bonds,two double bonds,four ionic bonds,B
A molecule of an organic compound can be thought of as having two portions: a radical with an attached functional group. What is the correct definition of a functional group?,it consists of carbon atoms and hydrogen atoms,it is responsible for most of the properties of the molecule.4.6 Organic Chemistry and Macromolecules 100,it has a modest influence on the properties of the molecule.,it consists of a ring of carbon atoms.,B
"When a protein is denatured, which aspect of its structure is affected the LEAST?",primary structure,secondary structure,tertiary structure,quaternary structure,A
What chemical symbol for the element/atom occurs in an amino acid but not in fats and carbohydrates?,N,H,O,C,A
The element carbon is said to be tetravalent. This means it always has the fol-lowing number of covalent bonds in neutral compounds.,one,two,three,four,D
Which of the following structures represents a molecule belonging to the alco- hol family?,CH 3 – COOH,CH 3 – OH,CH 3 – O – CH 3,CH 3 – CO – CH 3,B
A hydrocarbon is a type of compound that contains:,Only carbon atoms,Carbon and Hydrogen atoms,"Carbon, Hydrogen and Oxygen atoms",Water and carbon atoms,B
A hydrocarbon molecule which contains at least one double bond could be an example of which type of compound:,Alkane,Alkene4.6 Organic Chemistry and Macromolecules 102,Alkyne,Alcapone,B
Which of the following structures represents a molecule belonging to the ketone family?,CH 3–CO–NH 2,CH 3–NH 2,CH 3 – O – CH 3,CH 3 – CO – CH 3,D
What is the sequence of amino acids in a protein known as?,primary structure,secondary structure,tertiary structure,quaternary structure,A
Which one of the following structure represents a saturated organic compound?,O ǁ CH3CH2C─OH,CH 3CH 2OH,CH 3CHCHCH 3,CH … CH,B
What is the protein that ﬁ lls the outermost dead cells of the epidermis?,granstein,dermin,melanin,keratin,D
What must be the case for a drug to be administered transdermally?,It must be water soluble,It must be lipid soluble,It must be injected subcutaneously,It must not irritate the skin’s chemo-receptors.,B
The skin participates in the production of vitamin D when which of the follow- ing occurs? When,calcium is present,signalled to by the hormone PTH,exposed to ultraviolet radiation,the precursor molecule is produced by the liver,C
The skin begins the production of vitamin D in which of the following situa- tions? When,exposed to ultraviolet radiation.,signalled to by the hormone PTH,calcium is present,it adds an hydroxyl group to a cholesterol molecule.,A
The hypodermis is which of the following?,the outer layer of the skin.,the inner layer of the skin.,the superﬁ cial fascia and not regarded as part of the skin.,"not vascularised, getting its nutrients by diffusion.",C
People with full thickness burns to more than 20 % of their body are in a life- threatening situation. This is due to which of the following?,The body’s inability to thermoregulate.,The loss of the ability to produce vitamin D.,The buildup of urea and uric acid which would otherwise have been excreted by the skin.,C. The buildup of urea and uric acid which would otherwise have been excreted by the skin. D. The body’s inability to prevent water loss,D
What is the most common protein in the epidermis?,elastin,keratin,melanin,cholesterol,B
What is the ﬁ brous protein in our skin that protects it from abrasion?,melanin,keratin,sebum,elastin,B
Which protein(s) are found in thin myoﬁ laments?,actin,actin and tropomyosin,"actin, tropomyosin, and troponin","actin, myosin, tropomyosin and troponin",C
What causes the myosin binding site of an actin molecule to be exposed?,ATP attaching to the myosin cross-bridge,a nerve impulse reaching the motor end plate of a motor nerve.,calcium ions attaching to troponin,acetylcholine crossing the neuromuscular junction,C
What is the role of calcium ions in muscle contraction? To,"bind to troponin, thus changing its shape and pulling it away from the actin molecule.",cause the myosin cross-bridge to detach from its binding site.,cause the action potential to propagate along the sarcolemma.,bind with ADP during aerobic respiration to produce ATP to provide energy.,A
The energy for muscle contraction is derived from the mechanisms below EXCEPT for one. Which one is NOT a method of producing ATP?,anaerobic glycolysis.,aerobic respiration. 8 Muscles 158,direct phosphorylation of ADP by creatinine phosphate.,anaerobic digestion of lactic acid.,D
Which of the following statements is WRONG ? The end products of:,protein digestion are transported to the liver via the hepatic portal vein,triglyceride digestion are transported to the liver via the lymphatic system,carbohydrate digestion are transported to the liver in the blood,triglyceride digestion are transported via the lymphatic system,B
What are the end products of carbohydrate digestion?,chylomicrons,amino acids,free fatty acids,monosaccharides,D
Which of the following pairs of substances are NOT secreted by the stomach as part of “gastric juice”?,hydrochloric acid and pepsinogen,hormones and intrinsic factor,nuclease and amylase,mucus and gastrin,C
What are some products of lipid digestion?,free bases and pentose sugars,fructose and glucose,amino acids and small peptides,free fatty acids and monoglycerols,D
Which of the following is a function of the liver?,Recycling of non-viable red blood cells,Conversion of pyruvic acid to lactic acid,Synthesis of plasma proteins,Production of renin,C
What is the term applied to the production of glucose from non-carbohydrate molecules?,deamination,transamination,glycogenolysis,gluconeogenesis,D
What is the purpose of “intrinsic factor” in gastric juice?,to activate pepsinogen,to assist with the absorption of vitamin B12,to protect the stomach lining against hydrochloric acid,it stimulates the release of gastrin,B
What are the end-products of carbohydrate digestion?,monosaccharides,disaccharides,glucose,trisaccharides,A
To what does the term “gluconeogenesis” refer?,the conversion of glycogen to glucose.,the removal of an amine group from an amino acid.,the production of glucose from non-carbohydrate molecules.,the conversion of disaccharides to monosaccharides.,C
Which of the following substances is NOT produced by the cells of the gastric glands?,mucus,hydrochloric acid,gastrin,pepsin,A
What molecules are the products of protein hydrolysis?,Monoglycerols and free fatty acids,Monosaccharides and disaccharides,Amino acids,Amino acids and small peptides,D
Which enzyme below digests proteins?,nuclease,maltase,carboxypeptidase,transaminase,C
To what does the term “gluconeogenesis” refer?,the conversion of non-carbohydrate molecules to glucose,the formation of non-essential amino acids from a keto-acid,the removal of an amine group from a molecule,the release of glucose from stored glycogen,A
Which of the following could NOT be used to describe pepsinogen?,it is a protein,it is a hormone,it is related to an enzyme,it is inactive,B
What is the function of the oesophagus in digestion?,It is a site of mechanical digestion.,It transfers food from the mouth to the stomach.,The oesophagus secretes amylase to begin carbohydrate digestion.,the oesophagus secretes hydrochloric acid.,B
What food is digested into monoglycerols?,protein,lipid,nucleic acid,starch,B
Which is an enzyme secreted by the gastric glands?,pepsin,gastrin,Cholecystokinin,intrinsic factor,A
What are the products of protein digestion?,monoglycerols and fatty acids,"dipeptides, tripeptides and amino acids","bases, pentose sugars and nitrate ions",monosaccharides and disaccharides,B
Correctly complete the sentence: Pepsinogen is,converted to pepsin by hydrochloric acid,converted to pepsin by intrinsic factor,secreted by the pancreas,involved in production of carbohydrate digesting enzymes 9 Gastro-Intestinal System 173,A
Protein is digested to polypeptides by which of the following?,pepsinogen,intrinsic factor 9 Gastro-Intestinal System 174,hydrochloric acid,pepsin,D
What are the products of carbohydrate digestion?,monosaccharides,amino acids,monoglycerides,monogylcerols,A
Which of the following are the end products of protein hydrolysis?,monoglycerols,keto acids and non-essential amino acids,polypeptides,amino acids and di- and tripeptides,D
One of the following is NOT a function of the liver. Which one?,recycling of red blood cells,storage of fat soluble vitamins 9 Gastro-Intestinal System 175,removal and recycling of lactic acid,activation of vitamin D,A
What converts pepsinogen to pepsin in the stomach?,hydrochloric acid,gastrin,intrinsic factor,pepsinase,A
Which of the following is a function of bile?,To attach to vitamin B12 to allow it to be absorbed.,"To activate trypsinogen, chymotrypsinogen and procarboxypeptidase.",To digest fats.,To disperse large lipid globules into smaller droplets.,D
Which of the following is an enzyme?,amylase,gastrin,intrinsic factor,pepsinogen,A
What pancreatic enzyme digests lipids to free fatty acids and monoglycerides?,lipase,bile,cholecystokinin,lingual lipase 9 Gastro-Intestinal System 181,A
What stomach enzyme digests protein to polypeptides?,pepsin,hydrochloric acid,gastrin,intrinsic factor,A
What are the products of protein digestion?,polypeptides,monosaccharides,amino acids,free fatty acids and monoglycerides,C
What is the name of the hormone that stimulates the stomach to secrete hydro- chloric acid?,gastrin,intestinal gastrin,secretin,cholecystokinin,A
The functions of the stomach are:,"storage of meal, digestion of protein, mechanical digestion.","mechanical digestion, digestion of carbohydrate, food storage.","churning of chyme, digestion of fats, mechanical digestion. 9 Gastro-Intestinal System 185","digestion of protein, absorption of glucose, storage, mechanical digestion.",D
Which digestive enzyme in pancreatic juice digests proteins?,trypsin,lipase,pepsin,amylase,A
Which digestive enzyme in saliva breaks down starch?,trypsin,lipase,pepsin,amylase,D
Which one of the listed molecule types are absorbed from the gut?,starch,monosaccharides,cellulose,polypeptides,B
What are the products of carbohydrate digestion?,free bases and pentose sugars,monosaccharides 9 Gastro-Intestinal System 188,cellulose and disaccharides,free fatty acids and monoglycerides,B
What is a function of the SMALL intestine? To:,temporarily store ingested food,absorb the products of digestion,participate in mechanical digestion,secrete hydrochloric acid,B
What is produced by the beta cells of the pancreas?,angiotensin converting enzyme,glucocorticoids,glucagon,insulin,D
By what term are hormones derived from tyrosine also known?,amino acid derivatives,peptide hormones,steroid hormones,corticosteroids,A
Which hormone has the element iodine as part of its molecule?,calcitonin,haemoglobin,thyroxine,parathyroid hormone,C
Which of the following is an amino acid derivative hormone?,epinephrine,tyrosine,testosterone,prostaglandin,A
Peptide hormones are produced (and/or released) by which structure?,The adrenal cortex,The gonads,The hypothalamus,The kidneys,C
"What type of molecule is cAMP, or what role does it play?",a second messenger,an amino acid based hormone,a catecholamine,a steroid hormone,A
The hormones thyroxine and tri-iodothyronine contain which element?,cobalt,iron,iodine,manganese,C
Which of the following statements about corticosteroids is true?,They may also act as neurotransmitters,They are transported dissolved in blood,They are produced by the adrenal gland,They are amino acid derivatives,C
What is the difference between endocrine glands and exocrine glands?,endocrine glands produce hormones whereas exocrine glands do not.,exocrine glands secrete into the blood stream whereas endocrine glands do not.,endocrine glands are controlled by the autonomic nervous system whereas exocrine glands are not.,exocrine glands secrete steroid hormones whereas endocrine glands secrete amino acid-based hormones.,A
What molecule catalyses the formation of angiotensin I?,carbonic anhydrase,calcitriol,erythropoietin,renin,D
What is the kidney tubule’s response to a rise in blood pH?,Bicarbonate ions are created from carbonic acid and absorbed into the blood.,"Hydronium ions are secreted into the ﬁ ltrate, where they are buffered by bicarbonate ions in the ﬁ ltrate.","Bicarbonate ions are secreted into the ﬁ ltrate, while hydronium ions are absorbed from the ﬁ ltrate into the blood.","Hydronium ions are secreted into the ﬁ ltrate, while bicarbonate ions are absorbed from the ﬁ ltrate into the blood.",C
The kidneys produce all of the following EXCEPT one. Which one?,erythropoietin,angiotensinogen,hydronium ions,bicarbonate ions,B
The kidney produces all but one of the following. Which one?,calcitriol,atrial natriuretic peptide,renin,bicarbonate ions,B
The kidneys produce all of the following except one. Which one?,the enzyme renin,the hormone erythropoietin,antidiuretic hormone,the vitamin calcitriol,C
Complete the following sentence correctly. Atrial natriuretic peptide,causes the wall of the collecting duct of the nephron to increase in perme- ability to water,increases sodium (Na + ) excretion at the kidneys.,causes peripheral vasoconstriction,stimulates the adrenal glands to release aldosterone,B
Under what conditions will the kidney produce concentrated urine? If:,glomerular ﬁ ltration rate is low.,glomerular ﬁ ltration rate is high. 11 Renal System 234,atrial natriuretic peptide and aldosterone are present in blood.,antidiuretic hormone and aldosterone are present in the blood.,D
Which one of the following is a function of the renal system?,produce bile,produce the enzyme renin,produce the hormone aldosterone,produce vitamin K,B
What is renin?,an enzyme released by the juxtaglomerular cells of the kidney when arte- rial pressure falls.,it catalyses the formation of angiotensin II in the lungs.,"it is a rapid acting, intense vasoconstrictor of arterioles.",a protein that stimulates the adrenal glands to release aldosterone.,A
Which of the following are organic wastes produced by the body?,Uric acid and ammonium ions,Amino acids and potassium ions,Albumin and globulin,Urea and sodium ions,A
Which ion does aldosterone stimulate the kidneys to reabsorb?,calcium,sodium,potassium,bicarbonate,B
"In haemostasis, which molecule polymerises to become the insoluble blood clot?",factor X,thrombin,fibrin,plasmin,C
Which enzyme converts fibrinogen to fibrin?,serotonin,thrombin,renin,secretin,B
Which one of the following is NOT a plasma protein?,keratin,albumin,ferritin,globulin,A
Which statement is INCORRECT? Colloid osmotic pressure:,is the difference in solution concentration between plasma and interstitial fluid.,"refers to the greater solution concentration of plasma, compared to intersti-tial fluid, due to the plasma proteins.",causes water to be drawn into blood from the interstitial fluid.,is the pressure exerted on capillary walls due to the collision of the plasma proteins.,D
An intravenous (IV) infusion flows into a vein because of hydrostatic pressure. This depends LEAST on which of the following?,gravity,the density of the IV solution,the volume of liquid in the IV bag,the “head” of liquid,C
Which of the following chemicals would cause blood pressure to decrease when they appear in blood?,anti-diuretic hormone,angiotensin II,aldosterone,atrial natriuretic peptide,D
Which statement regarding the regulation of blood pressure by the endocrine system is correct?,"In comparison to other physiological regulatory processes, it is slow.",Aldosterone is responsible for the conversion of angiotensin I into angioten- sin II,"In response to a drop in blood pressure, the renin-angiotensin aldosterone system leads to parasympathetic stimulation",Angiotensin converting enzyme (ACE) is responsible for converting angio-tensinogen into angiotensin I,A
"When blood pressure drops, which of the following responses would happen?",atrial natriuretic peptide is released from the heart,the kidneys release renin which catalyses the formation of angiotensin I,the rate of sodium excretion by the kidneys increases,the secretion of anti-diuretic hormone is inhibited 12 Cardiovascular System 303,B
One of the following is a vasodilator. Which one?,atrial natriuretic peptide (ANP).,angiotensin II.,epinephrine (adrenaline).,an increase in sympathetic impulses.,A
Which of the following does Angiotensin II cause to happen?,Atrial natriuretic peptide to be released.,The collecting ducts in the kidney to become permeable to water.,The release of antidiuretic hormone to be supressed.,Aldosterone to be released.,D
The respiratory centre of the brain controls the respiratory muscles. Which of the following does NOT happen?,An increase in carbon dioxide blood concentration stimulates peripheral chemoreceptors to signal the respiratory centre.,A decrease in blood pH stimulates peripheral chemoreceptors to signal the respiratory centre.,Hydronium ions cross the blood-brain barrier to directly stimulate the cen- tral chemoreceptors of the respiratory centre.,A decrease in oxygen blood concentration stimulates peripheral chemore- ceptors to signal the respiratory centre.,C
What mechanism transports the largest portion of oxygen around the body?,oxygen is carried bound to plasma proteins,oxygen is transported in solution dissolved in blood plasma,oxygen is bound to haemoglobin within red blood cells,oxygen is transported as bicarbonate after reacting with water to form car- bonic acid,C
"In what form is the majority of carbon dioxide that is generated by cellular respiration, transported to the lungs?",as dissolved carbon dioxide in the blood plasma.,bound to haemoglobin in red blood cells.,as carbonic acid inside red blood cells.,as bicarbonate ions in the blood plasma.,D
Which molecule has the greatest effect in controlling lung ventilation?,oxygen in the blood,hydrogen ions in the blood,carbon dioxide in the blood,oxygen in the cerebrospinal ﬂ uid,C
Which is the incorrect statement among the four below?,more oxygen is carried bound to haemoglobin than dissolved in plasma.,more carbon dioxide is carried bound to haemoglobin than dissolved in plasma.,haemoglobin buffers hydrogen ions derived from carbon dioxide.,carbonic anhydrase is the enzyme that binds oxygen to haemoglobin.,D
In which form is the majority of CO 2 transported in the blood?,as a dissolved solute,bound to plasma proteins,as carbonic acid molecules,as bicarbonate (HCO 3 − ) ions,D
"In red blood cells, carbonic anhydrase catalyses the formation of carbonic acid which then disassociates into bicarbonate ions and hydrogen ions. What hap-pens next?",bicarbonate ions bind to haemoglobin,hydrogen ions move into the plasma to be buffered by bicarbonate ions,hydrogen ions are buffered by haemoglobin,chloride ions enter the rbc to form hydrochloric acid (HCl),C
A molecule that is important in maintaining normal lung structure is:,immunoglobulin,haemoglobin,peroxidase,surfactant,D
Why is oxygen therapy – allowing a patient to breathe in an atmosphere in which the proportion of oxygen is greater than 20 % – beneﬁ cial? Because the,partial pressure of CO 2 in the inhaled air is decreased making it easier to clear CO 2 from the lungs.,partial pressure of oxygen in the lungs is increased allowing more oxygen to dissolve in the alveolar ﬂ uid.,oxygen molecule is smaller than the nitrogen molecule so a greater number of moles of air can be drawn into the lungs with each breath.,patient is required to inhale less frequently and this reduces the strain on the respiratory system.,B
Which of the following buffer systems of the body is affected by the action of the lungs?,protein,monohydrogen-phosphate/dihydrogen-phosphate,ammonia/ammonium,carbonic acid/bicarbonate,D
Boyle’s law states that the pressure in an enclosed gas is inversely related to its volume. Which of the following descriptions is compatible with Boyle’s law and with respiratory physiology?,"As the sternum and ribs move outward, the volume of the chest increases. This causes an increase in the enclosed air pressure. Hence air is exhaled along the pressure gradient.",Bronchodilation expands the volume enclosed by the bronchioles. This decreases the air pressure within them and so atmospheric air moves into the lungs along the pressure gradient.,Diffusion of oxygen from alveolar air into the blood decreases the partial pressure of oxygen in the lungs. This decreased pressure allows atmospheric air to enter the lungs along the pressure gradient.,"As the diaphragm moves down, the chest volume expands which decreases the pressure in that volume. Consequently atmospheric air is forced into the lungs along the pressure gradient.",D
"If the pO 2 of oxygen in the alveoli is 104 mmHg and in the blood in alveolar capillaries is 40 mmHg, while the pCO 2 in the alveoli 40 mmHg and in the blood is 46 mmHg, which of the following will happen?",carbon dioxide will diffuse from the alveoli to the blood.,oxygen will diffuse from the blood to the alveoli.,oxygen will diffuse from the red blood cells to the plasma.,carbon dioxide will diffuse from the blood into the alveoli.,D
"What is the space between a neuron and the following neuron, muscle or gland that it stimulates called?",Synaptic vesicle,Ion channel,Synaptic cleft,Receptor,C
Which of the following statements about the blood-brain barrier (BBB) is correct?,The BBB prevents ﬂ uctuations of hormone and ion concentrations in blood from affecting the brain.,It is formed by Schwann cells wrapping around capillaries.,The brain is supported by (it ﬂ oats in) the BBB.,The BBB is formed by the choroid plexus.,A
Which of the following statements about the blood-brain barrier is TRUE? It,consists of the meninges which surround the brain,is a protective mechanism which limits entry of alcohol into the brain,is poorly developed in the newborn who are therefore less sensitive to drugs which act on the brain,is unable to prevent entry of lipid-soluble toxins into the brain,D
Consider an electron that is in its ground state in an atom. When this electron moves to another state in the atom it is said to have,gained energy and to be in an excited state,gained energy and to be in a metastable state,lost energy and undergone stimulated emission,lost energy and to be part of a population inversion,A
Which of the following imaging modalities does NOT involve the use of “ion- ising radiation”?,mammography,ultrasound,a scintigram using technetium,a chest x-ray,B
What does the physical half-life of a pure sample of radioactive material refer to?,the amount of time taken for half of the radioactive atoms to decay.,half of the time that it would take for all of the radioactive atoms to decay. 17 Ionising Radiation 449,the average time taken for any particular radioactive atom to decay.,the time it takes for half of a sample of ingested radioisotope to be cleared from the body.,A
‘Half-life’ when applied to atoms of a radioactive isotope refers to the:,midpoint of the time span for which the isotope will emit its radiation,effective time for which the isotope is considered to be dangerous.,length of time taken for half of the isotope to emit its radiation.,time after which the radioactivity of the sample is half of its original value.,C
Why are radioactive isotopes of the stable elements that occur normally in the body useful for tracing metabolic pathways? Because,such isotopes undergo chemical reactions that are identical to those of sta- ble isotopes.,radioisotopes are indistinguishable from non-radioactive isotopes of the same element.,nuclear radiation can be detected outside the body and be used to produce an image of internal structures.,radioactive forms of elements that exist naturally in the body do not pro-duce toxic effects when used as a radiopharmaceutical.,A
"Why is it possible to trace metabolic pathways in the body using radioactive isotopes of the naturally occurring elements in the body? Because, radioactive isotopes",are used in such small quantities that they produce no toxic effects.,have a very short half-life so soon decay to safe levels.,are chemically identical to non-radioactive isotopes of the same element.,are physically identical to non-radioactive isotopes of the same element.,C
If an ion has a positive charge then what do we know about it? That it,will attract another ion with a positive charge.,has gained some protons. 18 Electricity 468,has lost some electrons.,has more electrons than protons.,C
"Consider a cardiac monitor whose time-base control is set so that the ECG trace moves horizontally at 25 mm/sec. If the patient’s heart rate is 75 beats per min-ute, how far apart would the peaks of the ECG trace be?",15 mm,18 mm 18 Electricity 474,20 mm,25 mm,C
Choose the INCORRECT statement from the four below.,mass is the amount of matter contained in an object.,gravity is the name of the force that acts between any objects with mass.,weight is the pressure with which earth’s gravity acts on an object.,"for a standing person, base of support is the area bounded by their feet.",C
Which statement is consistent with “good lifting technique”?,Keep your centre of gravity and that of the object being lifted as close as possible.,Maximise the length of the effort arms of the body levers you use to lift the load.,Use the relatively strong back muscles rather than the relatively weak thigh muscles.,Minimise your base of support and bend your legs at the knees before you lean over.,A
A person who is standing on both of their feet is “stable” when:,their base of support is as wide as is comfortably possible.,their centre of gravity is above their base of support.,their centre of gravity is close to their base of support.,the position of their centre of gravity and base of support coincide.,B
One of the following statements is WRONG. Which one?,A patient’s inertia may be decreased by using several people to assist in their transfer.,The position of a person’s centre of gravity may be altered by altering the position of their arms and legs.,Base of support may be increased by adopting a wide stance with your feet.,Friction between a patient and the bed may be reduced by using a slide sheet.,A
What does a nurse attempt to minimise during a patient manual handling procedure?,the patient’s centre of gravity,friction between patient and bed,the patient’s inertia,the nurse’s base of support,B
What is the purpose of using of a slide sheet in patient manual handling?,to extend the patient’s base of support,to facilitate raising the patient’s centre of gravity,to minimise friction between the patient and the bed,to minimise the patient’s inertia,C
What is the purpose of “counter-balancing” in manual handling? To,ensure that your large leg muscles are used to shift a patient,ensure a ﬁ rm grip on the slide sheet,increase the size of your base of support,"use gravity, acting on your weight, to shift a patient",D
Most manual handling manoeuvres require bending at the knees. This is so that,the strong thigh muscles are used.,a wide base of support can be adopted.,a stable body position is achieved.,the back can be used as a third class lever.,A
Which of the following is NOT a reason for using a slide sheet?,To provide the handler with convenient hand holds while shifting the patient.,To increase the patient’s base of support.,To reduce the friction between the patient and their bed.,To reduce the risk of damaging fragile skin.,B
"If the imaginary line joining a person’s centre of gravity to the centre of the Earth passes through the person’s base of support, what can we say about that person? They are:",unstable.,balanced. 19 Biomechanics 484,using their back as a lever.,not doing any work.,B
"A person (assumed to be healthy, awake and on their feet) is stable – that is, will not overbalance and fall – as long as",they have a large base of support,their centre of gravity is close to the ground,their centre of gravity remains within their body,their centre of gravity is above their base of support,D
Which one describes when an unbalanced force is acting?,an object’s centre of gravity is above its base of support.,a moving object maintains a constant speed and direction.,a muscle contracts and causes a limb to move.,a soldier is standing rigidly to attention.,C
What is the aim of ‘correct lifting technique’? To,maintain balance by keeping the centre of gravity over the base of support.,avoid working with heavy loads that are on the ground.,use the bones and muscles of the leg.,keep the back straight while using it as a lever.,C
When a particular energy value is ascribed to a food what type of energy is being referred to? Its,translational kinetic energy.,gravitational potential energy 494,chemical potential energy,average kinetic energy per molecule,C
