question,optionA,optionB,optionC,optionD,answer,,,,,,,,,,,,,topic_chapter,topic_confidence,all_topics,matched_keywords,topic_section_id,topic_section_title,topic_section_confidence,all_sections,matched_section_keywords
Skeletal muscle cells have all of the following characteristics EXCEPT one. Which one?,a neuromuscular junction crossed by ACh (acetyl choline),invaginations of sarcolemma called “T tubules”.,they are branched,they are striated,C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.952,Chapter 1 - Chemicals; Chapter 10 - Lymphatic System,"cell, characteristic, muscle, of, the",,,0.000,,
What is the role of Ca ++ in muscle contraction?,Ca causes an action potential to travel along the sarcolemma,Ca binds to troponin changing its shape.,"Ca attaches to the binding site of myosin, energising it.",Ca engages with the binding site of actin causing the power stroke,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.976,Chapter 1 - Chemicals,"in, is, muscle, of, role, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.972,chapter_1::1_2_elements_and_atoms_heads_up; chapter_9::9_3_diffusion_transport_of_oxygen_heads_up; chapter_9::9_x_control_of_breathing_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"in, is, of, the"
Which of the following muscle structures is the largest?,sarcomere,fascicle,myoﬁ bril,muscle ﬁ bre,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.976,Chapter 1 - Chemicals,"is, muscle, of, structure, the",,,0.000,,
Which feature is shared by cardiac muscle cells and skeletal muscle cells?,striations,intercalated discs,branching,involuntary nature,A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.985,Chapter 1 - Chemicals,"and, by, cell, is, muscle",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.995,chapter_1::1_2_elements_and_atoms_heads_up; chapter_1::1_9_proteins_heads_up,"and, by, cell, is"
What structures attach a muscle to a bone?,a tendon,a fasciculus,a sarcomere,an internal intercostal,A,,,,,,,,,,,,,Chapter 10 - Lymphatic System,0.967,Chapter 10 - Lymphatic System; Chapter 1 - Chemicals,"a, muscle, structure, to",,,0.000,,
Which of the following muscles is NOT named after its location in the body?,latissimus dorsi,adductor longus,rectus femoris,biceps brachii,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.999,Chapter 1 - Chemicals,"bodi, in, in the, in the bodi, is, muscle, name, of, the, the bodi",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.995,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"bodi, in, is, of, the"
Which of the following muscle structures is the smallest?,sarcomere,fasciculus,myoﬁ bril,muscle ﬁ bre,A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.976,Chapter 1 - Chemicals,"is, muscle, of, structure, the",,,0.000,,
A feature of skeletal muscle that is NOT shared with cardiac or smooth muscle is:,striations,branched cells,intercalated discs,many nuclei,D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.993,Chapter 1 - Chemicals,"a, is, muscle, of, or, with",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.963,chapter_1::1_2_elements_and_atoms_heads_up; chapter_9::9_3_diffusion_transport_of_oxygen_heads_up; chapter_9::9_x_control_of_breathing_heads_up,"a, is, of"
Which muscles extend the leg?,quadriceps,hamstrings,gluteus muscles,"soleus, gastrocnemius & tibialis anterior",A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.671,Chapter 1 - Chemicals,"muscle, the",,,0.000,,
What is the role of acetylcholine in muscle cell contraction?,it is a neurotransmitter,it binds to troponin causing it to change shape,it supplies the energy for contraction,it engages with the binding site on actin,A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.988,Chapter 1 - Chemicals,"cell, in, is, muscle, of, role, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.990,chapter_1::1_2_elements_and_atoms_heads_up,"cell, in, is, of, the"
What is a sarcomere?,it is the plasma membrane of a muscle cell,it is the cytoplasm of a muscle cell,it is a section of myoﬁ bril,it is a bundle of thick and thin myoﬁ laments,C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.682,Chapter 1 - Chemicals,"a, is",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.837,chapter_1::1_2_elements_and_atoms_heads_up,"a, is"
Which of the following muscles IS named after its location in the body?,sartorius,triceps brachii,soleus,trapezius,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.999,Chapter 1 - Chemicals,"bodi, in, in the, in the bodi, is, muscle, name, of, the, the bodi",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.996,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"bodi, in, is, of, the"
Which of the following is the smallest unit in a muscle?,muscle ﬁ bre,myosin,fasciculus,myoﬁ bril,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.987,Chapter 1 - Chemicals,"a, in, is, muscle, of, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.996,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"a, in, is, of, the"
Skeletal muscle cells can be characterised as:,"unstriated, involuntary, multinucleate","unstriated, voluntary, multinucleate","striated, voluntary, uninucleate","striated, voluntary, multinucleate",D,,,,,,,,,,,,,Chapter 2 - Classification,0.749,Chapter 2 - Classification,"be, can, can be",chapter_2::2_3_naming_animals_heads_up,2.3 Naming Animals (Heads-up),0.888,chapter_2::2_3_naming_animals_heads_up,"be, can, can be"
The muscles involved in mastication include which of the following?,"sternocleidomastoid, scalene","sartorius, gracilis, soleus","temporalis, masseter, buccinator","orbicularis oculi, mentalis",C,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.952,Chapter 16 - Endocrine System; Chapter 2 - Classification; Chapter 1 - Chemicals,"in, of, of the, the",,,0.000,,
What action does the ﬂ exor carpi ulnaris perform?,it ﬂ exes the lower arm,the same as the extensor carpi ulnaris.,it ﬂ exes the ﬁ ngers,the same as the ﬂ exor carpi radialis,D,,,,,,,,,,,,,Chapter 2 - Classification,0.386,Chapter 2 - Classification; Chapter 1 - Chemicals; Chapter 16 - Endocrine System,the,chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),0.769,chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,the
Which one of the following is not made of skeletal muscle?,the diaphragm,pyloric sphincter,vastus lateralis,the tongue,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.982,Chapter 1 - Chemicals,"is, made, made of, muscle, of, the",,,0.000,,
What is the cytoplasm of a skeletal muscle cell called?,sarcolemma,sarcomere,sarcoplasm,fasciculus,C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.988,Chapter 1 - Chemicals,"a, call, cell, is, muscle, of, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.990,chapter_1::1_2_elements_and_atoms_heads_up,"a, cell, is, of, the"
What does the term “origin” refer to in the musculoskeletal system?,The point of attachment of a muscle to the “moveable” bone.,The line that separates the shaft from the end of a long bone.,The point of attachment of a muscle to the “stationary” bone.,The end of a long bone.,C,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.947,Chapter 16 - Endocrine System; Chapter 1 - Chemicals; Chapter 10 - Lymphatic System,"in, system, the, to",,,0.000,,
What is the protein of thick myoﬁ laments in a skeletal muscle cell?,tropomyosin,myosin,actin,acetylcholine,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.992,Chapter 1 - Chemicals,"a, cell, in, is, muscle, of, protein, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.996,chapter_1::1_2_elements_and_atoms_heads_up,"a, cell, in, is, of, the"
"What are the muscles known as triceps brachii, biceps femoris and quadriceps femoris named according to? Their:",relative size and location of muscle’s origin,number of origins and location in the body,shape of muscle and direction of muscle ﬁ bres,number of insertions and location in the body,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.990,Chapter 1 - Chemicals,"and, are, are the, muscle, name, the, their, to",,,0.000,,
A skeletal muscle ﬁ bre (cell) consists of many sections (units) which contract. What is the name given to one of the units that contract?,sarcomere,sarcolemma,sarcoplasm,fasciculus,A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.997,Chapter 1 - Chemicals,"a, cell, is, muscle, name, of, the, to",,,0.000,,
The neurotransmitter that causes an action potential to occur in a muscle cell membrane is called:,inorganic phosphate (HPO 4 2− ),adenosine diphosphate (ADP),calcium (Ca ++ ),acetylcholine (ACh),D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.995,Chapter 1 - Chemicals,"a, call, cell, in, is, muscle, occur, the, to",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.985,chapter_1::1_2_elements_and_atoms_heads_up,"a, cell, in, is, the"
Which of these events is necessary for the contraction of a muscle cell?,the shortening of myoﬁ laments.,the conversion of ADP & HPO 4 2− to ATP in the cross-bridge.,Ca 2+ binding to troponin causing it to change shape.,the movement of ACh from the sarcolemma to the axon terminal.,C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.992,Chapter 1 - Chemicals,"a, cell, for, is, muscle, of, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.998,chapter_1::1_2_elements_and_atoms_heads_up,"a, cell, for, is, of, the"
Which statement about thick or thin myoﬁ laments is CORRECT?,"Thick myoﬁ laments contain the three proteins myosin, tropomyosin and troponin.","Thin myoﬁ laments contain the three proteins actin, tropomyosin and troponin.",Thick myoﬁ laments contain about 300 myosin molecules each of which has a binding site for a cross bridge.,Thin myoﬁ laments contain about 300 myosin molecules each of which has a cross bridge.,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.626,Chapter 1 - Chemicals; Chapter 9 - Respiratory System,"is, or",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.489,chapter_1::1_2_elements_and_atoms_heads_up; chapter_1::1_4_chemical_reactions_heads_up; chapter_1::1_6_organic_and_inorganic_compounds_heads_up; chapter_9::9_2_overview_heads_up; chapter_9::9_3_diffusion_transport_of_oxygen_heads_up; chapter_9::9_x_control_of_breathing_heads_up,is
What is the role of calcium ions in muscle contraction? To,"bind to troponin, thus changing its shape and pulling it away from the actin molecule.",cause the myosin cross-bridge to detach from its binding site.,cause the action potential to propagate along the sarcolemma.,bind with ADP during aerobic respiration to produce ATP to provide energy.,A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.997,Chapter 1 - Chemicals,"calcium, in, ion, is, muscle, of, role, the, to",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.971,chapter_1::1_2_elements_and_atoms_heads_up; chapter_1::1_9_proteins_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up; chapter_9::9_3_diffusion_transport_of_oxygen_heads_up; chapter_9::9_x_control_of_breathing_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"in, is, of, the"
The space between the ribs is ﬁ lled with:,intercostal muscle,costal cartilage 8 Muscles 156,intercostal space,pleura,A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.926,Chapter 1 - Chemicals; Chapter 16 - Endocrine System,"is, the, with",,,0.000,,
Which of the following describes skeletal muscle?,"striated, voluntary, multinucleate, individually named.","striated, branched, uninucleate, involuntary.","not striated, uninucleate, voluntary, individually named.","not striated, multinucleate, involuntary, with intercalated discs.",A,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.828,Chapter 16 - Endocrine System; Chapter 1 - Chemicals,"of, of the, the",,,0.000,,
Which list is in the correct order of DECREASING size?,"muscle ﬁ bre, sarcomere, myoﬁ lament, myoﬁ bril.","muscle, fasciculus, muscle ﬁ bre, myoﬁ bril.","sarcomere, fasciculus, myoﬁ bril, myoﬁ lament.","muscle, muscle ﬁ bre, myosin, myoﬁ bril.",B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.984,Chapter 1 - Chemicals,"REGEX:\b(binomial|genus|species|kingdom|phylum|order|family|taxonomy|vertebrate|invertebrate)\b, in, in the, is, list, of, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.995,chapter_1::1_2_elements_and_atoms_heads_up,"REGEX:\b(binomial|genus|species|kingdom|phylum|order|family|taxonomy|vertebrate|invertebrate)\b, in, is, list, of, the"
"What are the muscles known as gluteus maximus, gluteus medius and gluteus minimus named according to? Their:",size.,shape.,whimsy.,direction of their muscle ﬁ bres.,A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.990,Chapter 1 - Chemicals,"and, are, are the, muscle, name, the, their, to",,,0.000,,
Which of these events is necessary for the contraction of a muscle cell?,the shortening of myosin molecules.,the hydrolysis of ATP to ADP & HPO 4 2− in the myosin cross-bridge.,Ca 2+ binding to tropomyosin causing it to change shape.,the movement of Ca 2+ from the sarcoplasm into the sarcoplasmic reticulum.,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.992,Chapter 1 - Chemicals,"a, cell, for, is, muscle, of, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.998,chapter_1::1_2_elements_and_atoms_heads_up,"a, cell, for, is, of, the"
Select the one INCORRECT statement about skeletal muscles,An “agonist” opposes or reverses a particular movement,A muscle’s attachment point to a stationary bone is called its “origin”. 8 Muscles 157,A skeletal muscle cell is a “syncytium”.,Muscles that immobilise a bone are called “ﬁ xators”.,A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.642,Chapter 1 - Chemicals; Chapter 10 - Lymphatic System,"muscle, the",,,0.000,,
Which of the following groupings of muscle type and their characteristics is INCORRECT ?,"skeletal, striated, voluntary","smooth, visceral, involuntary","cardiac, striated, voluntary","skeletal, striated, syncytium",C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.996,Chapter 1 - Chemicals,"and, and their, characteristic, is, muscle, of, the, their",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.995,chapter_1::1_2_elements_and_atoms_heads_up; chapter_9::9_x_control_of_breathing_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"and, is, of, the"
"Microscopically, muscle ﬁ bres contain parallel myoﬁ brils. What are the units joined end to end within a myoﬁ bril called? A:",myoﬁ lament,motor unit,myosin,sarcomere,D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.995,Chapter 1 - Chemicals,"a, are, are the, call, contain, join, muscle, the, to",,,0.000,,
The part of a skeletal muscle cell that is able to contract is called,sarcoplasm,sarcolemma,sarcomere,sarcoplasmic reticulum,C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.996,Chapter 1 - Chemicals,"a, call, cell, is, muscle, of, the, to",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.995,chapter_1::1_2_elements_and_atoms_heads_up,"a, cell, is, of, the"
The energy for muscle contraction is derived from the mechanisms below EXCEPT for one. Which one is NOT a method of producing ATP?,anaerobic glycolysis.,aerobic respiration. 8 Muscles 158,direct phosphorylation of ADP by creatinine phosphate.,anaerobic digestion of lactic acid.,D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.998,Chapter 1 - Chemicals,"a, energi, for, from, is, muscle, of, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.999,chapter_1::1_2_elements_and_atoms_heads_up,"a, for, is, of, the"
"With respect to the ﬂ exion of the forearm, which of the following statements is correct?",the origin of the biceps brachii is on the radius and its insertion is on the scapula,the origin of the biceps brachii is on the ulna and its insertion is on the scapula,the agonist muscle is the biceps brachii and the antagonist is the triceps brachii,the agonist muscle is the biceps brachii and the antagonist is the brachialis,C,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.996,Chapter 16 - Endocrine System; Chapter 1 - Chemicals; Chapter 2 - Classification,"of, of the, the, to, with",,,0.000,,
Patients conﬁ ned to bed and those with plaster casts immobilising a bone frac- ture suffer muscle wasting. What is the term used for this condition?,Disuse atrophy,Denervation atrophy,Muscle dystrophy,Muscle hypertrophy,A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.995,Chapter 1 - Chemicals,"a, and, for, is, muscle, the, to, us, with",,,0.000,,
What is the source of the ATP used by muscles for vigorous activity that may last for 10 to 15 seconds?,glycolysis of glucose in the cell cytoplasm forms ATP.,the ATP that is stored in muscle cells as ATP.,aerobic respiration in the mitochondria produces the ATP,creatinine phosphate in muscle and ADP react to form the required ATP.,D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.999,Chapter 1 - Chemicals,"by, for, is, muscle, of, source, source of, the, to, us",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.997,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up,"by, for, is, of, the"
Which muscle and bone listed below do NOT work together in combination?,humerus and biceps femoris,quadriceps and tibia,femur and gluteal muscles,radius and biceps brachii,A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.890,Chapter 1 - Chemicals,"and, in, list, muscle",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.964,chapter_1::1_2_elements_and_atoms_heads_up,"and, in, list"
Which of the following muscles is named after its origin and insertion points?,tibialis anterior,extensor digitorum longus,rectus femoris,sternocleidomastoid,D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.977,Chapter 1 - Chemicals,"and, is, muscle, name, of, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.986,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up,"and, is, of, the"
Which of the following is NOT a common intramuscular injection site?,gluteus medius,deltoid,gluteus maximus,vastus lateralis,C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.947,Chapter 1 - Chemicals; Chapter 2 - Classification,"a, common, is, of, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.990,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_4_classification_of_living_organisms_heads_up,"a, common, is, of, the"
What structure attaches a muscle to a bone?,a meniscus,a ligament,a cartilage,a tendon,D,,,,,,,,,,,,,Chapter 10 - Lymphatic System,0.967,Chapter 10 - Lymphatic System; Chapter 1 - Chemicals,"a, muscle, structure, to",,,0.000,,
The muscle known as the “transversus abdominus” is named according to,its size and number of origins,the direction of its muscle ﬁ bres and its action,its action and its location in the body,location in the body and direction of muscle ﬁ bres,D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.980,Chapter 1 - Chemicals,"is, muscle, name, the, to",,,0.000,,
"When a muscle contracts, exactly what structure gets shorter?",the fascicles of a muscle,the myosin molecules of a myoﬁ lament,the actin molecules of a myoﬁ lament,the sarcomeres of a myoﬁ bril,D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.898,Chapter 1 - Chemicals; Chapter 10 - Lymphatic System,"a, muscle, structure, when",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.496,chapter_1::1_2_elements_and_atoms_heads_up; chapter_1::1_3_compounds_and_molecules_heads_up; chapter_1::1_4_chemical_reactions_heads_up; chapter_1::1_7_carbohydrates_heads_up; chapter_1::1_9_proteins_heads_up; chapter_2::2_4_classification_of_living_organisms_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up; chapter_10::10_2_lymphatic_system_heads_up; chapter_10::10_2_1_lymphatic_vessels_heads_up; chapter_1::1_x_organic_molecules_overview; chapter_2::2_x_taxonomy_at_a_glance,a
What is the neurotransmitter that crosses the neuromuscular junction?,Acetylcholine (ACh),Adrenalin (epinephrine),Noradrenalin (norepinephrine),Ca ++,A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.808,Chapter 1 - Chemicals,"is, the",,,0.000,,
What does aerobic respiration refer to?,glycolysis in the cytoplasm in the absence of oxygen.,oxidative phosphorylation in the mitochondria in the presence of oxygen.,glycolysis in the liver in the presence of oxygen,gluconeogenesis in the liver in the absence of oxygen,B,,,,,,,,,,,,,Chapter 9 - Respiratory System,0.640,Chapter 9 - Respiratory System,"respiration, to",,,0.000,,
Which of the following statements is WRONG ? The end products of:,protein digestion are transported to the liver via the hepatic portal vein,triglyceride digestion are transported to the liver via the lymphatic system,carbohydrate digestion are transported to the liver in the blood,triglyceride digestion are transported via the lymphatic system,B,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.961,Chapter 16 - Endocrine System; Chapter 1 - Chemicals,"of, of the, the",,,0.000,,
One of the following processes is NOT part of mechanical digestion. Which One?,hydrolysis,peristalsis,segmentation,mastication,A,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.956,Chapter 16 - Endocrine System; Chapter 10 - Lymphatic System,"of, of the, part, the",,,0.000,,
Which type of cell produces hydrochloric acid?,Zymogenic cells,Parietal cells,Chief cells,Enteroendocrine cells,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.868,Chapter 1 - Chemicals,"acid, cell, of, of cell",chapter_1::1_9_proteins_heads_up,1.9 Proteins (Heads-up),0.962,chapter_1::1_9_proteins_heads_up; chapter_1::1_8_fats_heads_up,"acid, cell, of, of cell"
Which of the following glands are accessory organs of the digestive system?,adrenal glands,pancreatic islets,gastric glands,salivary glands,D,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.998,Chapter 16 - Endocrine System,"are, gland, gland are, of, of the, system, the",,,0.000,,
What is the role of gastrin in the digestive system?,to stimulate release of bile and pancreatic juice,to stimulate gastric secretion,to activate pepsinogen,to hydrolyse proteins to polypeptides 9 Gastro-Intestinal System 163,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.985,Chapter 1 - Chemicals; Chapter 16 - Endocrine System,"in, in the, is, of, role, the",,,0.000,,
Which liver cells produce bile?,Kupffer cells,sinusoids,hepatocytes,the acini,C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.353,Chapter 1 - Chemicals; Chapter 10 - Lymphatic System,cell,chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.530,chapter_1::1_2_elements_and_atoms_heads_up; chapter_1::1_8_fats_heads_up; chapter_1::1_9_proteins_heads_up; chapter_10::10_2_lymphatic_system_heads_up; chapter_1::1_x_organic_molecules_overview; chapter_10::10_x_lymph_nodes_organs,cell
What are the end products of carbohydrate digestion?,chylomicrons,amino acids,free fatty acids,monosaccharides,D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.985,Chapter 1 - Chemicals,"are, are the, carbohydrate, of, of carbohydrate, the",,,0.000,,
What feature of the small intestine enhances its ability to absorb digested food?,its large surface area,the gaps between adjacent epithelial cells,secretion of the hormone absorptin,its longer length compared to the large intestine,A,,,,,,,,,,,,,Chapter 2 - Classification,0.984,Chapter 2 - Classification,"digest, food, it, of, small, the, to",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),0.998,chapter_2::2_5_the_animal_kingdom_heads_up,"digest, food, it, of, the, to"
"Which of the following gut structures are listed in the correct order that food would pass through them, from input to exit?","pyloric sphincter, ileum, jejunum, transverse colon.","pancreas, jejunum, ascending colon, sigmoid colon.","ileum, duodenum, descending colon, ascending colon.","duodenum, ileum, caecum, transverse colon.",D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.998,Chapter 1 - Chemicals; Chapter 2 - Classification,"REGEX:\b(binomial|genus|species|kingdom|phylum|order|family|taxonomy|vertebrate|invertebrate)\b, are, are list, from, in, in the, list, of, structure, the, to",,,0.000,,
Which statement about the layers of the alimentary canal is correct?,The serosa absorbs the products of digestion.,The mucosa protects against self-digestion.,The sub-mucosa is involved in segmentation and peristalsis,The muscularis externa is dense connective tissue. 9 Gastro-Intestinal System 164,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.947,Chapter 1 - Chemicals,"is, layer, of, the",,,0.000,,
Which of the following pairs of substances are NOT secreted by the stomach as part of “gastric juice”?,hydrochloric acid and pepsinogen,hormones and intrinsic factor,nuclease and amylase,mucus and gastrin,C,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.998,Chapter 16 - Endocrine System,"are, by, by the, of, of the, part, the",,,0.000,,
What are some products of lipid digestion?,free bases and pentose sugars,fructose and glucose,amino acids and small peptides,free fatty acids and monoglycerols,D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.908,Chapter 1 - Chemicals,"are, lipid, of, some",chapter_1::1_3_compounds_and_molecules_heads_up,1.3 Compounds and Molecules (Heads-up),0.935,chapter_1::1_3_compounds_and_molecules_heads_up; chapter_1::1_8_fats_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"are, of, some"
From which of the gut structures below is most digested food absorbed?,duodenum,stomach,ileum,ascending colon,C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.971,Chapter 1 - Chemicals; Chapter 16 - Endocrine System,"from, is, most, of, structure, the",,,0.000,,
Which of the following is an active enzyme?,procarboxypeptidase,pepsin,telophase,trypsinogen,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.903,Chapter 1 - Chemicals,"enzyme, is, of, the",,,0.000,,
Which of the following is a function of the liver?,Recycling of non-viable red blood cells,Conversion of pyruvic acid to lactic acid,Synthesis of plasma proteins,Production of renin,C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.993,Chapter 1 - Chemicals,"a, function, function of, is, of, the",,,0.000,,
What is the term applied to the production of glucose from non-carbohydrate molecules?,deamination,transamination,glycogenolysis,gluconeogenesis,D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.992,Chapter 1 - Chemicals,"from, glucose, is, molecule, of, the, to",,,0.000,,
Which of the following terms is used to describe the changing of large food molecules into smaller molecules?,mechanical digestion,deglutition,segmentation,hydrolysis,D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.999,Chapter 1 - Chemicals,"into, is, molecule, of, the, to, us, us to",,,0.000,,
What is the purpose of “intrinsic factor” in gastric juice?,to activate pepsinogen,to assist with the absorption of vitamin B12,to protect the stomach lining against hydrochloric acid,it stimulates the release of gastrin,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.899,Chapter 1 - Chemicals,"in, is, of, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.972,chapter_1::1_2_elements_and_atoms_heads_up; chapter_9::9_3_diffusion_transport_of_oxygen_heads_up; chapter_9::9_x_control_of_breathing_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"in, is, of, the"
Which of the following does NOT contribute to increasing the surface area of the small intestine?,the brush border,plicae circulars,intestinal crypts,villi,C,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.996,Chapter 16 - Endocrine System,"of, of the, small, the, to",,,0.000,,
What are the end-products of carbohydrate digestion?,monosaccharides,disaccharides,glucose,trisaccharides,A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.987,Chapter 1 - Chemicals,"are, are the, carbohydrate, of, of carbohydrate, the",,,0.000,,
Name the major cell type in a liver lobule.,Kupffer cells,hepatocytes,sinusoids,epithelial cells,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.962,Chapter 1 - Chemicals,"a, cell, in, name, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.974,chapter_1::1_2_elements_and_atoms_heads_up,"a, cell, in, the"
