chapter,section,confidence
Chapter 3 - The Cell,Section not found,0.985
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.998
Chapter 3 - The Cell,3.5 The Nucleus,0.811
Chapter 3 - The Cell,Section not found,0.990
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.998
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.998
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.996
Chapter 10 - Lymphatic System,Section not found,0.823
Chapter 3 - The Cell,Section not found,0.998
Chapter 1 - Chemicals,1.5 Ionization (Heads-up),0.554
Chapter 1 - Chemicals,1.5 Ionization (Heads-up),0.554
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.828
Chapter 3 - The Cell,Section not found,0.941
Chapter 3 - The Cell,Section not found,0.671
Chapter 16 - Endocrine System,Section not found,0.708
Chapter 16 - Endocrine System,Section not found,0.929
Chapter 3 - The Cell,Section not found,1.000
Chapter 16 - Endocrine System,Section not found,0.708
Chapter 1 - Chemicals,Section not found,0.993
Chapter 3 - The Cell,Section not found,0.906
Chapter 3 - The Cell,Section not found,0.984
Chapter 3 - The Cell,3.2 The Cell,0.974
Chapter 3 - The Cell,Section not found,0.910
Chapter 3 - The Cell,3.3.1 Tonicity and Red Blood Cells,0.984
Chapter 16 - Endocrine System,1.8 Fats (Heads-up),0.489
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.997
Chapter 3 - The Cell,Section not found,0.925
Chapter 1 - Chemicals,Section not found,0.995
Chapter 3 - The Cell,Section not found,0.972
Chapter 3 - The Cell,Section not found,0.920
Chapter 3 - The Cell,Section not found,0.823
Chapter 16 - Endocrine System,Section not found,0.952
Chapter 3 - The Cell,3.2 The Cell,0.986
Chapter 3 - The Cell,Section not found,0.974
Chapter 3 - The Cell,Section not found,0.995
Chapter 16 - Endocrine System,Section not found,0.917
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.998
Chapter 3 - The Cell,3.3.1 Tonicity and Red Blood Cells,0.987
Chapter 3 - The Cell,Section not found,0.834
Chapter 3 - The Cell,3.2 The Cell,0.901
Chapter 3 - The Cell,3.2 The Cell,0.908
Chapter 3 - The Cell,Section not found,0.915
Chapter 3 - The Cell,3.2 The Cell,0.901
Chapter 3 - The Cell,3.2 The Cell,0.901
Chapter 3 - The Cell,Section not found,0.859
Chapter 2 - Classification,3.2 The Cell,0.511
Chapter 1 - Chemicals,Section not found,0.996
Chapter 3 - The Cell,3.3 The Plasma Membrane,1.000
Chapter 16 - Endocrine System,Section not found,0.989
Chapter 1 - Chemicals,1.9 Proteins (Heads-up),0.972
Chapter 1 - Chemicals,Section not found,0.989
Chapter 3 - The Cell,Section not found,0.996
Chapter 10 - Lymphatic System,Section not found,0.905
Chapter 3 - The Cell,Section not found,0.990
Chapter 1 - Chemicals,Section not found,0.989
Chapter 3 - The Cell,Section not found,0.988
Chapter 1 - Chemicals,Section not found,0.998
Chapter 3 - The Cell,Section not found,0.859
Chapter 3 - The Cell,Section not found,0.989
Chapter 3 - The Cell,Section not found,0.994
Chapter 3 - The Cell,Section not found,0.998
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.998
Chapter 3 - The Cell,Section not found,0.973
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.956
Chapter 1 - Chemicals,Section not found,0.998
Chapter 1 - Chemicals,Section not found,0.989
Chapter 3 - The Cell,Section not found,0.984
Chapter 3 - The Cell,3.4 The Cytoplasm,0.977
Chapter 3 - The Cell,Section not found,1.000
Chapter 1 - Chemicals,Section not found,0.994
Chapter 3 - The Cell,Section not found,0.941
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.995
Chapter 1 - Chemicals,Section not found,0.952
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.972
Chapter 3 - The Cell,Section not found,0.991
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.995
Chapter 10 - Lymphatic System,Section not found,0.967
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.995
Chapter 3 - The Cell,Section not found,0.980
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.963
Chapter 1 - Chemicals,Section not found,0.671
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.990
Chapter 3 - The Cell,Section not found,0.859
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.996
Chapter 3 - The Cell,Section not found,0.995
Chapter 2 - Classification,Section not found,0.749
Chapter 16 - Endocrine System,Section not found,0.952
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.796
Chapter 1 - Chemicals,Section not found,0.982
Chapter 3 - The Cell,3.4 The Cytoplasm,0.998
Chapter 3 - The Cell,Section not found,0.968
Chapter 3 - The Cell,Section not found,0.996
Chapter 1 - Chemicals,Section not found,0.990
Chapter 3 - The Cell,3.2 The Cell,0.999
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.997
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.998
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.489
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.971
Chapter 1 - Chemicals,Section not found,0.926
Chapter 16 - Endocrine System,Section not found,0.828
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.995
Chapter 1 - Chemicals,Section not found,0.990
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.998
Chapter 1 - Chemicals,Section not found,0.642
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.995
Chapter 1 - Chemicals,Section not found,0.995
Chapter 3 - The Cell,Section not found,0.998
Chapter 3 - The Cell,Section not found,0.998
Chapter 3 - The Cell,Section not found,0.996
Chapter 1 - Chemicals,Section not found,0.995
Chapter 3 - The Cell,Section not found,1.000
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.964
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.986
Chapter 3 - The Cell,Section not found,0.984
Chapter 10 - Lymphatic System,Section not found,0.967
Chapter 1 - Chemicals,Section not found,0.980
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.796
Chapter 3 - The Cell,Section not found,0.972
Chapter 3 - The Cell,Section not found,0.831
Chapter 3 - The Cell,Section not found,0.984
Chapter 3 - The Cell,Section not found,0.981
Chapter 1 - Chemicals,1.9 Proteins (Heads-up),0.962
Chapter 16 - Endocrine System,Section not found,0.998
Chapter 3 - The Cell,Section not found,0.990
Chapter 3 - The Cell,3.6 Cell Division,0.828
Chapter 1 - Chemicals,Section not found,0.985
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.998
Chapter 3 - The Cell,Section not found,0.998
Chapter 1 - Chemicals,Section not found,0.947
Chapter 3 - The Cell,Section not found,0.998
Chapter 3 - The Cell,Section not found,0.914
Chapter 3 - The Cell,Section not found,0.991
Chapter 3 - The Cell,3.2 The Cell,0.986
Chapter 1 - Chemicals,Section not found,0.993
Chapter 3 - The Cell,Section not found,0.998
Chapter 1 - Chemicals,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.968
Chapter 16 - Endocrine System,Section not found,0.996
Chapter 1 - Chemicals,Section not found,0.987
Chapter 1 - Chemicals,Section not found,0.962
Chapter 3 - The Cell,Section not found,0.834
Chapter 3 - The Cell,Section not found,0.941
Chapter 3 - The Cell,Section not found,0.968
Chapter 3 - The Cell,Section not found,0.998
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,1.000
Chapter 16 - Endocrine System,Section not found,0.911
Chapter 3 - The Cell,Section not found,0.991
Chapter 3 - The Cell,Section not found,0.992
Chapter 1 - Chemicals,Section not found,0.995
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.997
Chapter 1 - Chemicals,Section not found,0.976
Chapter 3 - The Cell,Section not found,0.909
Chapter 3 - The Cell,3.2 The Cell,0.901
Chapter 1 - Chemicals,Section not found,0.996
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.839
Chapter 3 - The Cell,Section not found,0.834
Chapter 10 - Lymphatic System,10.2 Lymphatic System (Heads-up),0.997
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.967
Chapter 3 - The Cell,Section not found,0.991
Chapter 3 - The Cell,3.7 The Cell as a Factory,1.000
Chapter 16 - Endocrine System,Section not found,0.949
Chapter 3 - The Cell,Section not found,0.920
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.819
Chapter 1 - Chemicals,Section not found,0.952
Chapter 1 - Chemicals,Section not found,0.999
Chapter 1 - Chemicals,Section not found,0.994
Chapter 3 - The Cell,Section not found,0.974
Chapter 3 - The Cell,3.2 The Cell,0.956
Chapter 3 - The Cell,Section not found,0.982
Chapter 16 - Endocrine System,Section not found,0.850
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.999
Chapter 2 - Classification,Section not found,0.750
Chapter 1 - Chemicals,Section not found,0.994
Chapter 16 - Endocrine System,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.789
Chapter 3 - The Cell,Section not found,0.997
Chapter 3 - The Cell,Section not found,0.992
Chapter 1 - Chemicals,Section not found,0.987
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.542
Chapter 3 - The Cell,Section not found,0.980
Chapter 3 - The Cell,Section not found,0.992
Chapter 1 - Chemicals,Section not found,0.991
Chapter 3 - The Cell,Section not found,0.994
Chapter 3 - The Cell,Section not found,0.941
Chapter 3 - The Cell,Section not found,0.962
Chapter 3 - The Cell,Section not found,0.951
Chapter 3 - The Cell,Section not found,0.986
Chapter 1 - Chemicals,Section not found,0.976
Chapter 16 - Endocrine System,Section not found,0.982
Chapter 1 - Chemicals,Section not found,0.952
Chapter 16 - Endocrine System,Section not found,0.999
Chapter 9 - Respiratory System,Section not found,0.974
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.998
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 1 - Chemicals,Section not found,0.987
Chapter 3 - The Cell,Section not found,0.997
Chapter 3 - The Cell,Section not found,0.834
Chapter 3 - The Cell,Section not found,0.997
Chapter 1 - Chemicals,Section not found,0.999
Chapter 3 - The Cell,3.2 The Cell,0.894
Chapter 3 - The Cell,Section not found,0.941
Chapter 3 - The Cell,Section not found,0.934
Chapter 3 - The Cell,Section not found,0.990
Chapter 1 - Chemicals,Section not found,0.990
Chapter 16 - Endocrine System,Section not found,0.999
Chapter 3 - The Cell,3.2 The Cell,0.988
Chapter 1 - Chemicals,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.795
Chapter 3 - The Cell,Section not found,1.000
Chapter 1 - Chemicals,Section not found,0.982
Chapter 1 - Chemicals,1.8 Fats (Heads-up),0.982
Chapter 3 - The Cell,Section not found,0.945
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.978
Chapter 16 - Endocrine System,Section not found,0.998
Chapter 1 - Chemicals,Section not found,0.982
Chapter 3 - The Cell,Section not found,0.960
Chapter 3 - The Cell,Section not found,0.982
Chapter 1 - Chemicals,Section not found,0.992
Chapter 1 - Chemicals,Section not found,0.988
Chapter 1 - Chemicals,Section not found,0.982
Chapter 3 - The Cell,Section not found,0.994
Chapter 1 - Chemicals,Section not found,0.991
Chapter 3 - The Cell,Section not found,0.996
Chapter 1 - Chemicals,Section not found,0.994
Chapter 3 - The Cell,Section not found,0.972
Chapter 3 - The Cell,Section not found,0.999
Chapter 1 - Chemicals,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,Section not found,1.000
Chapter 1 - Chemicals,Section not found,0.978
Chapter 3 - The Cell,Section not found,0.930
Chapter 3 - The Cell,Section not found,0.984
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.971
Chapter 3 - The Cell,Section not found,0.994
Chapter 3 - The Cell,Section not found,0.909
Chapter 1 - Chemicals,1.7 Carbohydrates (Heads-up),0.803
Chapter 3 - The Cell,Section not found,0.977
Chapter 16 - Endocrine System,Section not found,0.941
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.998
Chapter 3 - The Cell,Section not found,0.826
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,3.2 The Cell,0.891
Chapter 1 - Chemicals,Section not found,0.985
Chapter 1 - Chemicals,Section not found,0.987
Chapter 3 - The Cell,Section not found,0.995
Chapter 3 - The Cell,Section not found,0.987
Chapter 3 - The Cell,Section not found,0.991
Chapter 3 - The Cell,Section not found,0.996
Chapter 3 - The Cell,Section not found,0.972
Chapter 1 - Chemicals,1.8 Fats (Heads-up),0.982
Chapter 16 - Endocrine System,16.x Hormone Highlights,0.651
Chapter 16 - Endocrine System,16.3 Endocrine Glands & Hormones (Heads-up),0.939
Chapter 16 - Endocrine System,16.4 Pituitary Gland & Hypothalamus (Heads-up),0.888
Chapter 3 - The Cell,Section not found,0.842
Chapter 16 - Endocrine System,16.x Hormone Highlights,0.962
Chapter 3 - The Cell,Section not found,0.993
Chapter 1 - Chemicals,10.x Lymph Nodes & Organs,0.660
Chapter 16 - Endocrine System,16.x Hormone Highlights,0.861
Chapter 16 - Endocrine System,Section not found,0.999
Chapter 16 - Endocrine System,16.4 Pituitary Gland & Hypothalamus (Heads-up),0.996
Chapter 16 - Endocrine System,Section not found,0.917
Chapter 1 - Chemicals,1.3 Compounds and Molecules (Heads-up),0.796
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.992
Chapter 16 - Endocrine System,16.x Hormone Highlights,0.969
Chapter 3 - The Cell,Section not found,0.954
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.744
Chapter 16 - Endocrine System,Section not found,0.999
Chapter 1 - Chemicals,Section not found,0.987
Chapter 16 - Endocrine System,Section not found,0.847
Chapter 16 - Endocrine System,16.4 Pituitary Gland & Hypothalamus (Heads-up),1.000
Chapter 16 - Endocrine System,Section not found,0.907
Chapter 3 - The Cell,3.2 The Cell,0.959
Chapter 1 - Chemicals,Section not found,0.994
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.725
Chapter 16 - Endocrine System,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.808
Chapter 16 - Endocrine System,16.3 Endocrine Glands & Hormones (Heads-up),0.819
Chapter 16 - Endocrine System,16.x Hormone Highlights,0.980
Chapter 16 - Endocrine System,Section not found,0.995
Chapter 16 - Endocrine System,Section not found,0.988
Chapter 3 - The Cell,Section not found,0.823
Chapter 3 - The Cell,Section not found,0.985
Chapter 16 - Endocrine System,Section not found,0.958
Chapter 16 - Endocrine System,Section not found,0.988
Chapter 16 - Endocrine System,16.x Hormone Highlights,0.904
Chapter 16 - Endocrine System,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.957
Chapter 1 - Chemicals,Section not found,0.933
Chapter 16 - Endocrine System,Section not found,0.988
Chapter 16 - Endocrine System,Section not found,0.952
Chapter 16 - Endocrine System,16.x Hormone Highlights,0.920
Chapter 1 - Chemicals,Section not found,0.997
Chapter 16 - Endocrine System,16.x Hormone Highlights,0.994
Chapter 16 - Endocrine System,16.x Hormone Highlights,0.954
Chapter 3 - The Cell,Section not found,0.986
Chapter 3 - The Cell,3.3 The Plasma Membrane,1.000
Chapter 16 - Endocrine System,Section not found,0.998
Chapter 16 - Endocrine System,Section not found,0.993
Chapter 16 - Endocrine System,Section not found,0.984
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.744
Chapter 1 - Chemicals,Section not found,0.997
Chapter 3 - The Cell,Section not found,0.972
Chapter 3 - The Cell,Section not found,0.973
Chapter 2 - Classification,Section not found,0.917
Chapter 16 - Endocrine System,Section not found,0.988
Chapter 3 - The Cell,3.6 Cell Division,0.920
Chapter 16 - Endocrine System,16.4 Pituitary Gland & Hypothalamus (Heads-up),0.999
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.995
Chapter 3 - The Cell,Section not found,0.985
Chapter 16 - Endocrine System,Section not found,0.994
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.939
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.986
Chapter 3 - The Cell,Section not found,0.945
Chapter 1 - Chemicals,Section not found,0.977
Chapter 16 - Endocrine System,Section not found,0.946
Chapter 3 - The Cell,Section not found,0.872
Chapter 3 - The Cell,Section not found,0.831
Chapter 3 - The Cell,3.6 Cell Division,0.920
Chapter 1 - Chemicals,Section not found,0.949
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.999
Chapter 3 - The Cell,Section not found,0.884
Chapter 16 - Endocrine System,Section not found,0.982
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.755
Chapter 1 - Chemicals,Section not found,0.991
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.999
Chapter 3 - The Cell,3.7 The Cell as a Factory,1.000
Chapter 16 - Endocrine System,16.4 Pituitary Gland & Hypothalamus (Heads-up),0.997
Chapter 16 - Endocrine System,16.4 Pituitary Gland & Hypothalamus (Heads-up),1.000
Chapter 16 - Endocrine System,16.x Hormone Highlights,0.861
Chapter 1 - Chemicals,16.x Hormone Highlights,0.651
Chapter 16 - Endocrine System,16.4 Pituitary Gland & Hypothalamus (Heads-up),0.998
Chapter 16 - Endocrine System,16.x Hormone Highlights,0.931
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.939
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.971
Chapter 16 - Endocrine System,Section not found,0.979
Chapter 16 - Endocrine System,16.3 Endocrine Glands & Hormones (Heads-up),0.922
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.530
Chapter 3 - The Cell,Section not found,0.967
Chapter 3 - The Cell,Section not found,0.999
Chapter 16 - Endocrine System,Section not found,0.994
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.990
Chapter 3 - The Cell,3.2 The Cell,0.987
Chapter 3 - The Cell,Section not found,1.000
Chapter 16 - Endocrine System,Section not found,0.940
Chapter 3 - The Cell,Section not found,0.915
Chapter 16 - Endocrine System,Section not found,0.857
Chapter 3 - The Cell,3.2 The Cell,0.986
Chapter 3 - The Cell,3.3.1 Tonicity and Red Blood Cells,0.867
Chapter 3 - The Cell,Section not found,0.995
Chapter 3 - The Cell,Section not found,0.995
Chapter 2 - Classification,2.6 The Classification of Vertebrates (Heads-up),1.000
Chapter 3 - The Cell,Section not found,0.998
Chapter 3 - The Cell,Section not found,0.996
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.992
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.995
Chapter 3 - The Cell,Section not found,0.968
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.999
Chapter 16 - Endocrine System,16.x Hormone Highlights,0.978
Chapter 3 - The Cell,Section not found,0.984
Chapter 16 - Endocrine System,Section not found,1.000
Chapter 1 - Chemicals,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.998
Chapter 16 - Endocrine System,Section not found,0.987
Chapter 3 - The Cell,3.3.1 Tonicity and Red Blood Cells,0.980
Chapter 16 - Endocrine System,Section not found,1.000
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.511
Chapter 3 - The Cell,Section not found,0.994
Chapter 16 - Endocrine System,Section not found,0.990
Chapter 3 - The Cell,3.3.1 Tonicity and Red Blood Cells,0.997
Chapter 3 - The Cell,Section not found,0.983
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.934
Chapter 3 - The Cell,Section not found,0.994
Chapter 3 - The Cell,Section not found,0.999
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.785
Chapter 3 - The Cell,3.2 The Cell,0.983
Chapter 16 - Endocrine System,Section not found,0.863
Chapter 3 - The Cell,Section not found,0.994
Chapter 3 - The Cell,3.3.1 Osmosis,0.997
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.926
Chapter 10 - Lymphatic System,Section not found,0.850
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.995
Chapter 3 - The Cell,Section not found,0.998
Chapter 3 - The Cell,Section not found,0.991
Chapter 3 - The Cell,Section not found,0.925
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.997
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.969
Chapter 3 - The Cell,Section not found,0.934
Chapter 3 - The Cell,Section not found,0.995
Chapter 3 - The Cell,Section not found,0.993
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.744
Chapter 3 - The Cell,Section not found,0.934
Chapter 3 - The Cell,Section not found,0.964
Chapter 3 - The Cell,3.5 The Nucleus,0.993
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.970
Chapter 3 - The Cell,Section not found,0.997
Chapter 16 - Endocrine System,Section not found,0.630
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.785
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.777
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.999
Chapter 16 - Endocrine System,Section not found,0.970
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.983
Chapter 3 - The Cell,Section not found,0.992
Chapter 3 - The Cell,Section not found,0.834
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.991
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 3 - The Cell,Section not found,0.975
Chapter 3 - The Cell,Section not found,0.962
Chapter 9 - Respiratory System,Section not found,0.982
Chapter 16 - Endocrine System,Section not found,0.997
Chapter 3 - The Cell,3.3.1 Tonicity and Red Blood Cells,0.993
Chapter 3 - The Cell,Section not found,0.996
Chapter 1 - Chemicals,Section not found,0.949
Chapter 3 - The Cell,Section not found,0.972
Chapter 3 - The Cell,Section not found,0.965
Chapter 3 - The Cell,Section not found,1.000
Chapter 16 - Endocrine System,Section not found,1.000
Chapter 16 - Endocrine System,Section not found,0.984
Chapter 3 - The Cell,Section not found,0.998
Chapter 3 - The Cell,Section not found,0.991
Chapter 3 - The Cell,Section not found,0.906
Chapter 1 - Chemicals,Section not found,0.992
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.998
Chapter 3 - The Cell,Section not found,0.998
Chapter 3 - The Cell,Section not found,0.695
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),1.000
Chapter 1 - Chemicals,Section not found,0.992
Chapter 3 - The Cell,Section not found,0.990
Chapter 1 - Chemicals,Section not found,0.898
Chapter 3 - The Cell,Section not found,0.881
Chapter 3 - The Cell,Section not found,0.881
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.969
Chapter 3 - The Cell,Section not found,0.995
Chapter 3 - The Cell,Section not found,0.983
Chapter 3 - The Cell,3.7 The Cell as a Factory,1.000
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.998
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.987
Chapter 3 - The Cell,3.3.1 Tonicity and Red Blood Cells,0.996
Chapter 3 - The Cell,Section not found,0.995
Chapter 3 - The Cell,Section not found,0.999
Chapter 16 - Endocrine System,Section not found,0.899
Chapter 1 - Chemicals,Section not found,0.980
Chapter 16 - Endocrine System,Section not found,0.995
Chapter 3 - The Cell,3.3.1 Phagocytosis,1.000
Chapter 1 - Chemicals,1.5 Ionization (Heads-up),0.819
Chapter 3 - The Cell,3.3.1 Tonicity and Red Blood Cells,1.000
Chapter 3 - The Cell,3.3.1 Phagocytosis,0.994
Chapter 3 - The Cell,Section not found,0.982
Chapter 3 - The Cell,Section not found,0.951
Chapter 3 - The Cell,Section not found,0.660
Chapter 3 - The Cell,Section not found,0.945
Chapter 3 - The Cell,3.3.1 Tonicity and Red Blood Cells,1.000
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.989
Chapter 3 - The Cell,Section not found,0.998
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.521
Chapter 3 - The Cell,3.3.1 Tonicity and Red Blood Cells,1.000
Chapter 3 - The Cell,Section not found,0.823
Chapter 3 - The Cell,Section not found,0.915
Chapter 3 - The Cell,Section not found,0.989
Chapter 3 - The Cell,3.3.1 Tonicity and Red Blood Cells,1.000
Chapter 3 - The Cell,Section not found,0.982
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.964
Chapter 16 - Endocrine System,Section not found,0.993
Chapter 3 - The Cell,Section not found,0.897
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.503
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.999
Chapter 3 - The Cell,Section not found,0.998
Chapter 3 - The Cell,3.3.1 Tonicity and Red Blood Cells,1.000
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.941
Chapter 3 - The Cell,Section not found,0.995
Chapter 3 - The Cell,Section not found,0.927
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.943
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.785
Chapter 3 - The Cell,3.3.1 Tonicity and Red Blood Cells,0.976
Chapter 3 - The Cell,Section not found,0.866
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.930
Chapter 16 - Endocrine System,Section not found,0.994
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.992
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,3.3 The Plasma Membrane,1.000
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.834
Chapter 10 - Lymphatic System,Section not found,0.977
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.972
Chapter 16 - Endocrine System,Section not found,0.972
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.776
Chapter 3 - The Cell,Section not found,0.997
Chapter 3 - The Cell,Section not found,0.974
Chapter 3 - The Cell,3.2 The Cell,0.986
Chapter 16 - Endocrine System,Section not found,0.998
Chapter 16 - Endocrine System,Section not found,0.996
Chapter 3 - The Cell,Section not found,0.895
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.971
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.964
Chapter 3 - The Cell,Section not found,0.984
Chapter 3 - The Cell,Section not found,0.985
Chapter 1 - Chemicals,Section not found,0.976
Chapter 3 - The Cell,Section not found,0.994
Chapter 3 - The Cell,Section not found,0.984
Chapter 3 - The Cell,Section not found,0.964
Chapter 10 - Lymphatic System,Section not found,0.899
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.930
Chapter 3 - The Cell,Section not found,0.977
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.998
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.995
Chapter 3 - The Cell,Section not found,0.979
Chapter 3 - The Cell,Section not found,0.996
Chapter 3 - The Cell,3.2 The Cell,0.894
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.930
Chapter 3 - The Cell,Section not found,0.956
Chapter 1 - Chemicals,Section not found,0.986
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.971
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.998
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.998
Chapter 3 - The Cell,Section not found,0.987
