question,optionA,optionB,optionC,optionD,answer
What is the source of the ATP used by muscles for vigorous activity that may last for 10 to 15 seconds?,glycolysis of glucose in the cell cytoplasm forms ATP.,the ATP that is stored in muscle cells as ATP.,aerobic respiration in the mitochondria produces the ATP,creatinine phosphate in muscle and ADP react to form the required ATP.,D
What structure attaches a muscle to a bone?,a meniscus,a ligament,a cartilage,a tendon,D
What does aerobic respiration refer to?,glycolysis in the cytoplasm in the absence of oxygen.,oxidative phosphorylation in the mitochondria in the presence of oxygen.,glycolysis in the liver in the presence of oxygen,gluconeogenesis in the liver in the absence of oxygen,B
Which type of cell produces hydrochloric acid?,Zymogenic cells,Parietal cells,Chief cells,Enteroendocrine cells,B
What feature of the small intestine enhances its ability to absorb digested food?,its large surface area,the gaps between adjacent epithelial cells,secretion of the hormone absorptin,its longer length compared to the large intestine,A
Which statement about the layers of the alimentary canal is correct?,The serosa absorbs the products of digestion.,The mucosa protects against self-digestion.,The sub-mucosa is involved in segmentation and peristalsis,The muscularis externa is dense connective tissue. 9 Gastro-Intestinal System 164,B
Which of the following is an active enzyme?,procarboxypeptidase,pepsin,telophase,trypsinogen,B
Name the major cell type in a liver lobule.,Kupffer cells,hepatocytes,sinusoids,epithelial cells,B
What happens to the products of lipid digestion in the gut?,They are actively transported into the epithelial cells lining the gut.,They diffuse into epithelial cells and are reconstituted into triglycerides.,They are transported to the liver by the hepatic portal vein.,"They diffuse through the plasma membrane of epithelial cells, then diffuse into blood capillaries",B
What is the function of the hepatic portal vein?,to return blood from the liver to the heart,"to transport blood rich in amino acids, monosaccharides and free fatty acids to the liver",to transport the products of protein and carbohydrate digestion from gut to the liver,to allow the nutrients absorbed from the gut to bypass the liver.,C
Which of the functions below is NOT performed by the liver?,production of glucagon,synthesis of lipoproteins to transport fatty acids,deamination of amino acids to form keto-acids,conversion of non-carbohydrate molecules to glucose,A
What is true about the “muscularis externa”?,It is muscle used for peristalsis.,It secretes mucus 9 Gastro-Intestinal System 178,It refers to superﬁ cial skeletal muscles,It is composed of connective tissue,A
The products of fat digestion are absorbed into the epithelial cells of the intes- tinal wall differently from the way products of protein and carbohydrate diges-tion are. The reason is:,the products of protein and carbohydrate digestion are smaller.,the products of fat digestion are actively transported across the plasma membrane.,the products of fat digestion are smaller.,monoglycerides are soluble in the plasma membrane.,D
Which statement best describes the process of Glycogenesis,The digestion of glycogen in the diet.,The conversion of fat into glycogen in muscle tissue,The conversion of glucose into glycogen in the liver,The conversion of glycogen into glucose in muscle tissue,C
Why is insulin not given as an oral drug?,It is too irritating to the gastro-intestinal mucosa,It is altered by passing through the liver,It is too big a molecule to be absorbed through the plasma membrane,It would be digested by enzymes in the stomach,D
What role do the Kupffer cells of the liver perform?,they transport plasma proteins,they perform gluconeogenesis 9 Gastro-Intestinal System 189,they are macrophages,they produce bile,C
Which statement about the hypothalamus is correct?,The hypothalamus is connected to the brain by the infundibulum,The hypothalamus is composed of glandular epithelial tissue,The hypothalamus secretes “releasing hormones”,The hypothalamus secretes epinephrine and norepinephrine,C
Which hormones have their receptors inside their target cell?,amino acid based hormones,hormones with a membrane carrier mechanism or that are lipid soluble,steroid hormones and peptide hormones of less than 50 amino acids,lipid soluble hormones,B
Which statement below is true of steroid hormones?,they do not have a speciﬁ c receptor to bind with.,they are not lipid soluble do bind to receptor proteins on the cell membrane.,they are lipid soluble so diffuse through the cell membrane.,they cross the cell membrane via a carrier mechanism.,C
Which statement applies to steroid hormones?,They are transported dissolved in blood,They bind to receptor proteins on the outside of the plasma membrane,They cross the plasma membrane by using a protein carrier mechanism.,They bind to receptors in the cell cytoplasm or nucleus,D
What is one mechanism of hormone action?,They act as second messengers in the cytoplasm,They act as enzymes for reactions,They act as receptor proteins,They activate genes in the nucleus,D
Which one of the following is NOT true of peptide hormones?,they are water soluble,they are derived from amino acids,their receptors are located in the cell cytoplasm,they are transported dissolved in blood,C
How do steroid hormones differ from amino acid-based hormones?,steroid hormones are water soluble whereas amino acid based hormones are not.,the receptors for steroid hormones are only in the cytoplasm or the nucleus (and amino acid-based hormones are not) 10 Endocrine System 199,"steroid hormones are made only in the adrenal glands, while amino acid- based hormones are produced by a variety of glands.","steroid hormones activate a G-protein and exert their effect via “second messengers”, but the action of amino acid-based hormones results directly on binding to their receptor.",B
Which structure is composed of glandular epithelial tissue?,the thalamus,the anterior pituitary,the posterior pituitary,the hypothalamus,B
Where are the receptors for almost all of the amino acid derived hormones located?,on the mitochondria,in the nucleus,on the outside of the plasma membrane,on the inside of the plasma membrane,C
Which of the following hormones CANNOT cross the plasma membrane?,sex hormones,amino acid based hormones,thyroid hormones,steroids,B
Which of the following is a substantial difference between amino acid based hormones and steroid hormones?,endocrine glands release steroid hormones while amino acid hormones are released from exocrine glands.,amino acid hormones are circulating hormones while steroid hormones are local hormones.,amino acid hormones are fat soluble while steroid hormones are not.,steroid hormones can pass through the plasma membrane while amino acid hormones cannot.,D
Which one is NOT a mode of action of hormones on their target cell?,a hormone may stimulate the synthesis of an enzyme in the target cell.,a hormone may activate an enzyme by altering its shape.,a hormone may deactivate an enzyme by altering its structure.,some hormones are enzymes that promote a chemical reaction in a cell.,D
One of the following groups of hormones has their receptor inside the cell. Which one?,steroid hormones,catecholamines,adrenalin and noradrenalin,peptide hormones,A
What is the function of insulin?,enhance the transport of glucose through the plasma membrane into the cell,promote glycogenolysis 10 Endocrine System 205,promote gluconeogenesis,to raise blood sugar level,A
Which of the following statements is FALSE ?,peptide hormones are not able to penetrate the cell membrane,thyroid hormone can cross the membrane,steroid hormones bind to receptors on the outside of the cell membrane,catecholamines are not lipid soluble,C
An amino acid based hormone binds to its receptor. This has the effect of:,activating an enzyme to produce cAMP,causing it to diffuse through the cell to trigger a cascade of reactions 10 Endocrine System 207,activate a G-protein,allowing it to move along the membrane,C
Why are the receptors for amino acid-based hormones on the outside surface of the cell membrane?,cells can respond faster when the hormone does not need to enter the cell.,amino acid-based hormones cannot penetrate cell membranes.,lysosomes in the intracellular ﬂ uid digest amino acid-based hormones.,amino acid-based hormones have no role in activating genes in the nucleus.,B
Which statement is NOT CORRECT about hormones:,They are chemical substances that alter cell activity,They regulate metabolic function of other cells in the body,Steroid hormones are amino acid-based and are synthesized from cholesterol,They are produced in glands and transported via the blood stream,C
"The hormones known as “catecholamines” (adrenaline, noradrenaline and dopamine) are not lipid soluble. Therefore their receptor sites are:",On the inside of the plasma membrane.,On the outside of the plasma membrane.,In the cell cytoplasm.,In the cell nucleus.,B
Solutes move from the blood in the glomerular capillaries into the Bowman’s capsule due to which of the following inﬂ uences?,osmotic pressure difference,diffusion down the concentration gradient,by active transport,hydrostatic pressure difference,D
What method does the glomerulus of the kidney nephron use to remove the dissolved substances from the blood to the ﬁ ltrate?,active transport,diffusion along the concentration gradient,high hydrostatic pressure,osmosis,C
Through which structure must the ﬁ ltrate move to enter the Bowman’s capsule from the glomerulus?,The capillary endothelial cell walls,The capillary endothelial wall and basement membrane,"The capillary endothelial wall, basement membrane and podocytes","The capillary endothelial wall, basement membrane, podocytes and the vasa recta",C
To which of the following would the term “white cell” NOT be applied?,erythrocyte,leucocyte,lymphocyte,monocyte,A
Which is the most abundant plasma protein?,alpha- and beta- globulins,albumin,mitochondria,haemoglobin,B
Which type of white blood cell is responsible for engulfing pathogens during phagocytosis?,thrombocyte,neutrophil,erythrocyte,basophil,B
What are red blood cells primarily composed of?,alpha- and beta- globulins,albumin,mitochondria,haemoglobin,D
Which is the LEAST common type of white blood cell?,lymphocyte,basophil,thrombocyte,neutrophil,B
Which of the following is NOT a macrophage?,Kupffer cell,Monocyte,Dendrocyte,Megakaryocyte,D
Which statement about neutrophils is correct?,they have no nucleus,they contain haemoglobin,they function as a body defence mechanism,eosinophils are one type of neutrophil,C
What is the major task of red blood cells?,to transport carbon dioxide,to ensure haemostasis,to provide immunity,to transport oxygen,D
Which cell in the list below is the MOST common white blood cell?,basophils,lymphocytes,monocytes,neutrophils,D
The role of platelets in blood clotting includes all of the following EXCEPT one. Which one?,to form a plug in the hole of the damaged blood vessel,to convert prothrombin to thrombin 12 Cardiovascular System 245,to release chemicals to attract other platelets,to adhere to exposed collagen fibres in damaged blood vessels,B
What is the function of the plasma proteins in blood?,to transport oxygen.,to regulate electrolyte balance,to exert osmotic pressure and so help maintain blood volume.,to function as a non-specific body defence mechanism.,C
"Which blood cell fits the following description: multi-lobed nucleus, incon-spicuous cytoplasmic granules, most common type of blood cell except for red blood cells?",neutrophil,eosinophil12.1 Blood 246,basophil,lymphocyte,A
Which of the following is not a type of white blood cell?,leucocyte,eosinophil,erythrocyte,neutrophil,C
Leucocytes may be correctly described as what?,cells with nuclei that do not contain haemoglobin.,"cells without nuclei, that contain haemoglobin.",white blood cells with granules in their cytoplasm.,neutrophilic.,A
Which of the following statements about platelets is INCORRECT? They:,adhere to collagen fibres of damaged tissue,release phospholipids which combine with “clotting factors” to produce prothrombin activator.,are cell fragments derived from megakayoblasts,are part of the “extrinsic pathway” for the formation of prothrombin activator.,B
Which one of the following terms refers to an abnormally low number of white blood cells?,thrombocytosis,haemostasis,leukopenia,cytokinesis,C
What does the term “neutrophil” refer to?,An affinity for neutrons.,An abnormally low number of cells.,A type of white blood cell.,An immature cell that will become a neutrocyte.,C
What feature does cardiac muscle possess that is missing in skeletal muscle?,striations,multiple nuclei,voluntary control,intercalated discs,D
How are cardiac cells mechanically attached to each other? By their:,mitochondria,intercalated discs,gap junctions,sarcolemma,B
What is the outermost layer of the heart wall known as?,epicardium,pericardium,parietal membrane,endocardium,A
Different types of capillaries are distinguished by their structure. Which of the following is NOT a structural difference between capillaries?,The endothelial cells of some capillaries are joined by tight junctions while for others there are gaps between the cells.,Some capillaries have pores that allow movement between the plasma and interstitial fluid.,"Some capillaries have an arterial end and a venous end, while others begin in the tissues and drain into a venule.",Some capillaries are surrounded by a basement membrane while others are not.,C
"When cardiac ejection ceases during diastole, what is the most important factor maintaining blood flow in arteries of the body?",Contraction of skeletal muscle,Closing the venous valves,Elastic recoil of the arteries close to heart,Contraction of the atria,C
Which of the following materials is found in the walls of capillaries?,endothelium,elastic fibres,collagen fibres,smooth muscle,A
Which of the following is found in the walls of capillaries?,endothelial cells and basement membrane,tunica externa,tunica media,smooth muscle,A
Why do arteries have more elastic and muscular tissue than veins?,arteries need to expand and contract as blood flows through them.,arteries need carry a greater volume of blood than do veins.12.3 Blood Vessels 268,to ensure that blood flows only in the direction away from the heart.,in order to support the larger diameter of arteries compared to veins.,A
The usefulness of having elastic arteries is in:,their ability to regulate blood pressure.,their ability to expand as the heart pumps blood into them,the assistance they give to venous return.,their ability to produce vasoconstriction and vasodilation,B
Vasoconstriction and vasodilation of blood vessels is facilitated by the,elastic fibres in vessel walls,parasympathetic division of the nervous system,smooth muscle in vessel walls,tunica intima of the blood vessel,C
One of the following does NOT help blood to move through arteries. Which one?,the influence of gravity.,the action of breathing and the movement of the diaphragm.,the elastic recoil of artery walls.,the pumping action of the heart.,B
Veins in the limbs have which one of the following characteristics?,thin walls composed of epithelium.,vessel walls with a thick layer of smooth muscle,pulsatile flow,valves,D
How do arteries differ from veins?,arteries have a larger diameter than veins.,arteries have more elastic tissue than veins.,there is a greater volume of blood in the arteries than in the veins.,arteries have valves but veins do not.,B
Arteries may be characterized as:,elastic tubes that carry oxygenated blood.,elastic tubes that carry blood away from the heart.,muscular tubes that have valves.,muscular tubes with a larger diameter than veins.,B
Some capillaries are called “sinusoids”. These are capillaries that:,are fenestrated.,have endothelium without gaps between cells.,have endothelium with gaps between adjacent cells.,have pores in the endothlial cell walls.,C
Which of the following is a difference between arteries and veins?,artery walls have more elastic tissue and smooth muscle than veins.,veins have three distinct “tunics” in their walls whereas arteries have only two. 12 Cardiovascular System 273,blood flow in veins is pulsatile while that is arteries is continuous.,the walls of veins have more elastic tissue and smooth muscle than in arteries.,A
When “colloid osmotic pressure” is used in relation to the blood. What is being referred to?,the movement of water molecules across the membrane of a red blood cell.,the filtration pressure in the glomeruli of the kidneys.,the osmotic pressure forcing water and solute out of capillaries.,the osmotic pressure due to the plasma proteins.,D
What is the function of the cilia on the cells that line the bronchial tree?,They help mix the inhaled fresh air with the residual air contained in the bronchial tree.,They slow the movement of air to allow for efﬁ cient exchange of gases.,They move the mucus on the cell surface up out of the bronchial tree.,They ﬁ lter particles from inhaled air.,C
One of the following statements is correct. Which one?,The visceral pleura is attached to the chest wall and the parietal pleura is attached to the lung.,The two lungs and their associated structures are known as the pneumothorax. 13 Respiratory System 317,The hilum is a serous membrane that surrounds each lung separately.,A negative pressure is maintained between the two lung pleura.,D
Why is it that bronchioles can constrict and so reduce their diameter while sec- ondary bronchi and respiratory bronchioles cannot constrict?,Bronchioles have smooth muscle but no cartilage in their walls while sec- ondary bronchi are supported by cartilage.,Bronchioles have smooth muscle but no cartilage in their walls while respi- ratory bronchioles are supported by cartilage.,Bronchioles have cartilage but no smooth muscle in their walls while sec- ondary bronchi are supported by cartilage.,Bronchioles have cartilage but no smooth muscle in their walls while respi- ratory bronchioles only have smooth muscle in their walls.,A
The walls of the following structures are all supported by cartilage except for one of them. Which one?,bronchioles,trachea,bronchi,larynx,A
What constitutes the respiratory membrane?,the parietal and visceral pleurae and enclosed pleural ﬂ uid,"capillary and alveolar epithelial cells, their basement membranes and adja- cent ﬂ uid",the alveolar surface ﬂ uid and epithelial cells,"alveolar epithelial and septal cells, ciliated cells, macrophages and surfactant.",B
Which statement may be used to deﬁ ne a bronchiole?,They are the airways that branch from the left and right primary bronchi.,They are kept open by “C” shaped rings of cartilage.,Their walls have supporting cartilage between smooth muscle.,Their walls contain smooth muscle but no cartilage.,D
One statement below about the larynx is correct. Which one?,It has walls lined with ciliated cells,It has walls made of cartilage,It has walls made of bone,It has walls made of muscle,B
What distinguishes bronchioles from the larger bronchi?,bronchioles have no cartilage in their walls,bronchioles have smooth muscle in their walls,bronchioles collapse between exhalation and inhalation,the alveoli open onto these air passages,A
Which structures are included in the respiratory membrane?,alveolar ﬂ uid and surfactant,"alveolar ﬂ uid, surfactant and epithelial cells of alveoli","alveolar ﬂ uid, surfactant, epithelial cells of alveoli and basement membrane of epithelial cell","alveolar ﬂ uid, surfactant, epithelial cells of alveoli, basement membrane of epithelial cell and endothelial cell of capillary",D
A bronchiole differs from tertiary (and smaller) bronchi in that it:,has cartilage in its wall (& bronchi do not),does not have cartilage in its wall (& bronchi do),has smooth muscle in its wall (& bronchi do not),does not have smooth muscle in its wall (& bronchi do),B
What is the function of ciliated cells in the lungs?,they form part of the respiratory membrane,to move mucus out of the bronchial tree,to secrete surfactant onto the lining of the alveoli,to phagocytose inhaled bacteria,B
What ensures that the lungs expand as the chest wall expands?,secreted surfactant,negative pressure between the pleura,serous liquid secreted by the pleura,the elastic recoil of the alveolar tissue,B
Which structures are called bronchioles?,respiratory passageways that have cartilage in their walls,the tubes that open from the left and right primary bronchi.,the tubes that enter a lobule,the tubes that enter an alveolar sac.,C
Which of the following is NOT part of the respiratory membrane?,the basement membrane of alveolar epithelial cells,the plasma membrane of red blood cells,capillary endothelial cells,alveolar ﬂ uid and surfactant,B
To which of the following does the term “respiration” NOT apply?,The conversion of carbon dioxide to bicarbonate ions for transport to the lungs,The exchange of gases between alveolar air and capillary blood 13 Respiratory System 329,The derivation of energy from organic molecules in the cells,The exchange of gases between capillary blood and body tissues,A
Which of these structures has no cartilage in it?,Epiglottis,Trachea,Bronchi,Alveoli 13 Respiratory System 331,D
Oxygen and carbon dioxide cross the respiratory membrane by the process of:,counter-current exchange,diffusion,active transport,oxygen – carbon dioxide pump,B
Normal expiration in a person at rest is due to,elastic tissue in the lung,contraction of abdominal muscles,contraction of the expiratory muscles,diffusion,A
Which membrane surrounds the lungs?,the pericardium,the pleura,the mediastinum,the diaphragm,B
"Blood entering the capillaries of the alveoli has dissolved CO 2 at 46 mmHg and is separated from air in the alveoli, which contains CO 2 at a partial pressure of 13 Respiratory System 343 40 mmHg, by the respiratory membrane. What will be the concentration of dis- solved CO 2 of the blood capillaries leaving the alveoli?",40 mmHg,43 mmHg,46 mmHg,86 mmHg,A
A difference in the amount and type of ions between the two sides of a plasma membrane or a charge difference that occurs when ions move along a mem-brane is called an “electrical potential”. What does the term “action potential” refer to?,The distribution of ions that results in the inside of the cell being at about −70 mV compared to outside the cell.,A movement of sodium ions into the cell following a stimulus and the ions spreading out along the inside of the cell membrane.,"The rapid movement of sodium ions into the cell followed by potassium ions moving out of the cell, with the movement being repeated along the length of the neuron.","Sodium ions being pumped out of the cell, while potassium ions are moved into the cell.",C
What is the gap between the plasma membranes of a neuron that conducts an incoming signal and the cell that is going to receive the signal called?,neuromuscular junction,intercellular cleft,synaptic cleft,intercalated disc,C
Which structure carries incoming impulses towards the nerve cell body?,axon hillock,axon,dendrite,synaptic knobs,C
Inactive muscle and nerve cells maintain a resting membrane potential. This potential results in:,the outside of the cell being negative,the inside of the cell being positive,the inside and outside of the cell having the same charge,the inside of the cell being negative,D
"When an action potential arrives at a synapse, what happens ﬁ rst?",a neurotransmitter is released into the synaptic cleft,extracellular Na + crosses the post-synaptic membrane,Choline in the synaptic cleft enters the nerve cell and is converted to acetyl choline,extracellular Ca ++ enters the nerve cell,D
What is the last part of a nerve cell that is involved when a nerve impulse passes to another cell?,synaptic knob,axon hillock,dendrite,axon,A
What is the effect of the movement of Na + into a nerve cell followed very soon by the movement of K + out of the nerve cell?,this establishes the resting membrane potential,these movements are known as depolarisation and repolarisation,these movements repolarise the cell,it changes the membrane potential from about −70 mV to about −50 mV,B
"There is a space between a neuron and the cell it stimulates, that is crossed by a neurotransmitter. What is it called?",synaptic cleft,voltage-gated channel,synapse,post-synaptic membrane,A
What name is used for a nerve cell?,neuron,neuroglia,ganglion,astrocyte,A
What is the name of the nerve cell structure that carries incoming impulses towards the cell?,dendrite,axon 14.1 Cells and Action Potential 352,cell body,ganglion,A
Which is the major type of nerve cell in the CNS?,Anaxonic,Unipolar,Bipolar,Multipolar,D
What is the purpose of the myelin sheath around an axon?,To control the chemical environment around the nerve cell.,To phagocytose microbes,To prevent movement of ions through the nerve cell membrane,To form the blood-brain barrier.,C
Which of the following describes an “action potential”?,"The high concentration of Na + and Cl − outside the cell, and of K + inside the cell.",The voltage change that moves along the cell membrane until it reaches the axon hillock.,The movement of a neurotransmitter from the pre-synaptic membrane to the post-synaptic membrane.,"The movement of Na + across the cell membrane into the cell, followed by the movement of K + out of the cell.",D
What part of the neurone carries the “action potential”?,the cell body,the dendrites,the synaptic knobs,the axon,D
What is an “action potential”? It is:,when the resting potential changes from −70 mV to +30 mV and then back again.,the name given to the difference in electrical charge between the inside and outside of the plasma membrane of a neurone.,the name given to the stimulus that changes the resting potential from −70 to −50 mV .,the voltage produced by a stimulus which causes a nerve impulse to be generated. 14.1 Cells and Action Potential 354,A
What does the term “synapse” refer to?,the plasma membrane of the axon terminal of a nerve cell.,"that part of the plasma membrane of the cell being stimulated, that is oppo- site the axon terminal.",the gap between the stimulating nerve cell and the receiving cell.,the place where signal transmission between a nerve cell and the cell it is stimulating occurs.,D
Which statement is true of a multi-polar neuron?,has many axons attached to the cell body,is the major type of neuron in the peripheral nervous system,all sensory neurons are multi-polar,has many dendrites attached to the cell body,D
Which of the following is a true statement about an “action potential”?,It refers to the movement of a neuro-transmitter along an axon.,It travels away from the cell body along the axon.,It causes K + to rush into the cell.,It travels between the dendrite and the axon hillock.,B
Complete the sentence. Neuroglia,are bundles of axons,contain cell bodies outside the central nervous system,are a type of neuron,"include ependymal cells, astrocytes and satellite cells",D
Which of the three structures listed below constitute a nerve cell?,"dendrites, ganglion, myelin sheath","dendrites, cell body, axon 14 Nervous System 355","neuron, neuroglia, synaptic process","cell body, synaptic knobs, efferent ﬁ bre",B
What feature do the dendrites of a nerve cell have?,they transmit an action potential,they contain the cell nucleus and organelles,they carry incoming impulses to the cell body,they are connected to the cell body by the axon hillock,C
Most sensory neurones may be described as which of the following?,multipolar,bipolar,having cell bodies within the CNS,unipolar 14.1 Cells and Action Potential 356,D
A multipolar neuron has more than one what?,dendrite attached to the cell body,axon attached to the cell body,synaptic terminal attached to the axon,cell body,A
What is the depolarisation and repolarisation of a nerve cell membrane called?,graded potential,action potential,threshold potential,resting membrane potential,B
Which best describes a nerve?,"dendrites, cell bodies, axons, Schwann cells","dendrites, cell bodies, axon hillock, axon terminals, vesicles","dendrites, cell bodies, axon hillock, axon terminals, Schwann cells, neurotransmitters","axons, blood vessels, connective tissue, Schwann cells 14 Nervous System 357",D
What is meant by the “absolute refractory period” of a nerve cell membrane? The time during which:,a larger than normal stimulus is required to cause an action potential.,a smaller than normal stimulus will produce an action potential. 14.1 Cells and Action Potential 358,no stimulus will produce an action potential.,two stimuli in quick succession are required to add to an above threshold stimulus.,C
Some cells in the body can maintain an electric potential across their cell mem- brane. How do they do this?,By using the sodium-potassium pump to continually eject positive sodium and potassium ions from the cell.,By allowing negative chloride ions to enter the cell along their concentra- tion gradient.,By trapping large cations inside the cell membrane.,By keeping unequal concentrations of various ions on each side of the cell membrane.,D
When we say that the cell membrane is polarised we mean that,the outside of the cell is negative with respect to the inside,the inside of the cell is negative with respect to the outside,there are more Na + ions and less K + ions inside the cell than outside.,Na + ions have moved out of the cell and K + ions have moved in.,B
Depolarisation of the cell membrane involves:,sodium channels opening to allow Na + to ﬂ ow in.,potassium channels opening to allow K + to ﬂ ow in.,chloride pumps quickly pumping large amounts of Cl − outside.,electrical attraction between K + inside and Cl − outside.,A
Which of the following statements about the action potential is FALSE ?,The action potential lasts about four milliseconds.,It is triggered by anions crossing the cell membrane.,"The sequence: ‘Na ions moving in, K ions moving out’ constitutes the action potential.",Repolarisation follows depolarisation of the cell membrane.,B
When is an action potential initiated? When,the resting membrane potential changes from −70 mV to +30 mV .,a nerve impulse has caused some muscle action to be produced.,the potassium ‘gates’ in the cell membrane open and potassium ions ﬂ ood into the cell.,"a stimulus, which is above the threshold level, is applied to a receptor.",D
What term refers to the sudden movement of potassium ions across the cell membrane to the outside of a nerve cell?,Repolarisation,Depolarisation,The action potential,The potassium pump,A
Which of the following is NOT composed of “gray matter”?,spinothalamic tract,cerebral cortex,basal nuclei,post-central gyrus,A
Where in the brain is the “primary motor area”?,Midbrain,Thalamus,Basal nuclei,Pre-central gyrus,D
Which part of the brain allows us to control skilled voluntary muscle movements?,basal nuclei,cerebellum,pre-central gyrus,thalamus,C
Which layer of membrane around the brain is the most superﬁ cial?,Dura mater,Meningeal mater,Arachnoid mater,Pia mater,A
In what respect does “gray matter” differ from “white matter”,gray matter refers to the CNS while white matter refers to the PNS.,"white matter makes up the autonomic nervous system, gray matter does not.","gray matter is found in the cerebrum, while white matter occurs in the cer- ebellum and the diencephalon.",gray matter contains the cell bodies of nerve cells white matter contains axons.,D
What is found between the arachnoid and pia mater?,adipose tissue,venous sinuses,choroid plexus,cerebrospinal ﬂ uid,D
What is found in the epidural space?,adipose tissue,venous sinuses,choroid plexus,cerebrospinal ﬂ uid,A
"In a cross-section view of the spinal cord, there is a butterﬂ y-shaped structure. What would the posterior gray horn of this structure primarily consist of?",the axons of motor neurons,the cell bodies of interneurons,the cell bodies of motor neurons,the cell bodies of sensory neurons,B
Which one of the following is NOT a function of the cerebral spinal ﬂ uid?,to produce hormones,to transport nutrients around the brain,to protect the spinal cord,to cushion the brain,A
What is the purpose of a neurotransmitter?,To pass a nerve impulse along a nerve cell axon,To pass a nerve impulse onto another cell,To pass a nerve impulse onto a muscle cell,To pass a nerve impulse onto another nerve cell,B
Which type of receptor always produces stimulation of the post-synaptic cell when bound by a neurotransmitter?,nicotinic,muscarinic,alpha adrenergic,beta adrenergic,A
What structure(s) does a neurotransmitter molecule cross?,synaptic cleft,synaptic cleft and the post-synaptic membrane,pre-synaptic membrane and the synaptic cleft,"post-synaptic membrane 14.3 Autonomic System, Neurotransmitters, Reﬂ exes 384",C
A “post-ganglionic cholinergic ﬁ bre” refers to a neuron that,runs from CNS to a ganglion and releases noradrenaline,synapses with an effector cell and whose neurotransmitter stimulates alpha and beta receptors.,runs from a ganglion to an effector cell and releases norepinephrine,synapses with an effector cell and releases acetylcholine (ACh),D
What may accurately be said of the post-synaptic membrane?,It is attached to the transmitting axon,It has receptors for a neurotransmitter,It is before the synaptic cleft,It is part of a neurone,B
What determines the response of the post-synaptic cell to autonomic impulses?,the neurotransmitter that binds to the cell,the type of receptor on the cell,whether the innervation is sympathetic or parasympathetic,whether the ﬁ bre is pre-ganglionic or post-ganglionic,B
A neurotransmitter is a molecule that crosses the,synaptic cleft,synaptic cleft and the post-synaptic membrane,presynaptic membrane and the synaptic cleft,post-synaptic membrane,C
Two ways that cells can communicate within the body are by synaptic commu- nication or by endocrine communication. A difference between the two is:,endocrine communication involves a chemical messenger whereas synaptic communication does not.,the action caused by synaptic communication may persist for several hours whereas that caused by endocrine communication persists for several minutes.,endocrine communication controls cellular activities in distant tissues whereas synaptic communication affects the adjacent cell.,synaptic communication occurs between adjacent cells whereas endocrine communication occurs between cells of the same tissue.,C
What is the light sensitive cell in the retina that responds to colour called?,macula,macula lutea,cone,rod,C
By which of the following pathways does sound entering the ear reach the organ of Corti?,"basilar membrane, middle ear, oval window, endolymph,","tympanic membrane, ossicles, oval window, cochlear ﬂ uid","tectorial membrane, Eustachian tube, ossicles, cochlear ﬂ uid","oval window, ear canal, auditory tube, endolymph",B
Which one of the following statements is WRONG ?,the middle ear lies between the tympanic membrane and the oval and round windows,the outer ear is vented by the Eustachian (or auditory) tube 14 Nervous System 399,the stapes is located in the middle ear,the tectorial membrane and the basilar membrane are located in the inner ear,B
Sound produces vibrations in the cochlear ﬂ uid of the inner ear. The movement of the ﬂ uid then produces motion in which of the following?,tectorial membrane,basilar membrane,otolithic membrane,crista ampullaris,B
What is the function of the middle ear ossicles?,To protect the cochlea from excessively loud noises.,To increase the sound intensity by resonating for sounds of frequencies near 3000 Hz,To amplify the sound intensity that reaches the tympanic membrane.,To cause the sound energy of waves in air to be transmitted into the cochlear ﬂ uid,D
"Of the following lists of four anatomical features, which one has them in the correct order of the path taken by sound energy as it is transmitted through the ear?","tectorial membrane, malleus, oval window, cochlear ﬂ uid.","tectorial membrane, incus, round window, organ of Corti.","tympanic membrane, malleus, oval window, cochlear ﬂ uid.","tympanic membrane, stapes, round window, organ of Corti.",C
Which one of the following lists of anatomical features is in the correct order of the path taken by sound energy as it is transmitted through the ear?,"Tympanic membrane, malleus, oval window, cochlear ﬂ uid.","Basilar membrane, incus, round window, ﬂ uid of Corti.","Tympanic membrane, stapedius, round window, ﬂ uid of Corti.","Basilar membrane, malleus, oval window, cochlear ﬂ uid.",A
What is the function of the tensor tympani and stapedius muscles in the middle ear?,To protect the tympanic membrane and ossicles from excessively loud noises.,To increase sound intensity by resonating for sounds with frequencies near 3000 Hz.,To amplify the sound intensity that reaches the oval window.,To cause the sound energy of waves in air to be transmitted into the cochlear ﬂ uid.,A
Our ears are most sensitive to sounds with frequencies that lie between about 3000 Hz and 3500 Hz. The reason for this is that,sounds with these frequencies have the largest decibel rating,the majority of human speech sounds are composed of frequencies that lie in this range,the external ear canal has dimensions that allow it to resonate with a fre- quency that is in this range,the largest part of the basilar membrane is receptive to this range of frequencies 14.4 Special Senses (Eye & Ear) 402,C
Which structure lies on the boundary between the middle and inner ear and has the stapes bound to it?,Ampulla,Oval window,Round window,Tympanic membrane,B
Which membrane lies over the hair cells found in the organ of Corti?,Basilar,Tectorial 14 Nervous System 403,Vestibular,Cochlear,B
What are the cells found in the maculae of the utricle and saccule that are responsible for our sense of equilibrium?,Supporting cells,Otoliths,Hair cells,Epithelial cells,C
How do sperm cells differ from other cells in the male body?,they contain 23 chromosomes,they all contain an X chromosome,they all contain a Y chromosome,they undergo mitosis,A
